sample_key,idx,project,commit_id,target,cwe,cve,func_hash,file_name,label_changed_line_count,char_len,token_len_approx,line_count,macro_count,preproc_count,call_count,unique_call_count,loop_count,cond_count,ptr_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,null_keyword_count,zero_shot_pred,zero_shot_correct,zero_shot_prompt_mode,zero_shot_prompt_tokens,zero_shot_completion_tokens,zero_shot_total_tokens,zero_shot_message_chars,author_no_yes_pred,author_no_yes_correct,author_no_yes_prompt_mode,author_no_yes_prompt_tokens,author_no_yes_completion_tokens,author_no_yes_total_tokens,author_no_yes_message_chars,yes_only_pred,yes_only_correct,yes_only_prompt_mode,yes_only_prompt_tokens,yes_only_completion_tokens,yes_only_total_tokens,yes_only_message_chars,no_only_pred,no_only_correct,no_only_prompt_mode,no_only_prompt_tokens,no_only_completion_tokens,no_only_total_tokens,no_only_message_chars,icl_pred,icl_correct,icl_prompt_mode,icl_prompt_tokens,icl_completion_tokens,icl_total_tokens,icl_message_chars,old_rag_pred,old_rag_correct,old_rag_prompt_mode,old_rag_prompt_tokens,old_rag_completion_tokens,old_rag_total_tokens,old_rag_message_chars,positive_weighted_rag_pred,positive_weighted_rag_correct,positive_weighted_rag_prompt_mode,positive_weighted_rag_prompt_tokens,positive_weighted_rag_completion_tokens,positive_weighted_rag_total_tokens,positive_weighted_rag_message_chars,balanced_grouped_no_label_bc_pred,balanced_grouped_no_label_bc_correct,balanced_grouped_no_label_bc_prompt_mode,balanced_grouped_no_label_bc_prompt_tokens,balanced_grouped_no_label_bc_completion_tokens,balanced_grouped_no_label_bc_total_tokens,balanced_grouped_no_label_bc_message_chars,retrieval_query_idx,retrieval_query_func_id,retrieval_func_char_len,retrieval_func_line_count,retrieval_num_selected_query_chunks,retrieval_num_index_matches,retrieval_top1_score,retrieval_top2_score,retrieval_score_gap_top1_top2,retrieval_mean_match_score,retrieval_top_pos_score_max,retrieval_top_neg_score_max,retrieval_pos_neg_margin_max,retrieval_pos_neg_margin_mean,retrieval_positive_evidence_count,retrieval_negative_evidence_count,retrieval_unknown_evidence_count,retrieval_top1_evidence_role,retrieval_top1_evidence_polarity,retrieval_top1_polarity_agrees_target,retrieval_same_project_match_count,retrieval_same_cwe_match_count,retrieval_role_count_vulnerable_changed,retrieval_role_count_fixed_changed,retrieval_role_count_safe_background,retrieval_role_count_vulnerable_context,retrieval_role_count_unknown,method_known_pred_count,method_yes_count,method_no_count,method_yes_rate,method_disagree,method_pred_entropy
idx:194963,194963,ImageMagick6,dc070da861a015d3c97488fdcca6063b44d47a7b,1,CWE-704,CVE-2022-32547,292096308156704952246887123009503225331,property.c,2,28188,5747,869,20,20,68,27,19,95,136,0,2,67,42,0,14,1,1,,,,,28524,1,1,,,,,30178,1,1,,,,,29183,1,1,,,,,29519,1,1,,,,,70771,1,1,,10036,1,10037,31633,1,1,rag_inline_function_label,10153,1,10154,32127,1,1,baseline_compatible_grouped_no_label,10094,4,10098,31389,194963,194963,28188,869,2,21,0.9920761585235596,0.9894784688949585,0.0025976896286010742,0.9679460724194845,0.9920761585235596,0.9765711426734924,0.01764601469039917,0.016575515270233154,10,10,1,vulnerable_changed,1,yes,0,0,10,2,8,1,0,8,8,0,1.0,0,0.0
idx:217569,217569,ImageMagick6,dc070da861a015d3c97488fdcca6063b44d47a7b,0,CWE-704,CVE-2022-32547,75422468811560646183620950160304672170,property.c,4,28274,5754,871,20,20,70,27,19,95,132,0,2,67,42,0,14,1,0,,,,,28610,1,0,,,,,30264,1,0,,,,,29269,1,0,,,,,29605,1,0,,,,,70793,1,0,,10050,2,10052,31719,1,0,rag_inline_function_label,10167,2,10169,32213,1,0,baseline_compatible_grouped_no_label,10125,4,10129,31511,217569,217569,28274,871,2,23,0.9854605793952942,0.9854605793952942,0.0,0.969140420789304,0.9803401231765747,0.9854605793952942,-0.0013997554779052734,-0.005454838275909424,10,10,3,safe_background,0,yes,0,0,10,2,8,3,0,8,8,0,1.0,0,0.0
idx:194989,194989,ImageMagick6,450949ed017f009b399c937cf362f0058eacc5fa,1,CWE-190,CVE-2022-32545,50584299779312396054491404176852470969,psd.c,2,1693,358,75,0,0,12,11,2,10,17,0,0,4,7,0,1,1,1,,,,,2029,1,1,,,,,3683,1,1,,,,,2688,1,1,,,,,3024,1,1,,,,,5445,1,1,,1238,1,1239,5173,1,1,rag_inline_function_label,1403,1,1404,5808,1,1,baseline_compatible_grouped_no_label,1266,3,1269,4814,194989,194989,1693,75,2,18,0.9854543209075928,0.9796839952468872,0.005770325660705566,0.9691329863336351,0.9854543209075928,0.9783982038497925,0.007056117057800293,0.004882127046585083,7,10,1,vulnerable_changed,1,yes,0,0,7,5,5,1,0,8,8,0,1.0,0,0.0
idx:218785,218785,ImageMagick6,450949ed017f009b399c937cf362f0058eacc5fa,0,CWE-190,CVE-2022-32545,177518249272594340059836567736761123364,psd.c,3,1718,363,76,0,0,12,11,2,10,17,0,0,4,7,0,1,1,0,,,,,2054,1,0,,,,,3708,1,0,,,,,2713,1,0,,,,,3049,1,0,,,,,5470,1,0,,1243,1,1244,5198,1,0,rag_inline_function_label,1408,1,1409,5833,1,0,baseline_compatible_grouped_no_label,1271,4,1275,4839,218785,218785,1718,76,2,18,0.9854543209075928,0.9791039228439331,0.006350398063659668,0.9676913784609901,0.9854543209075928,0.9783982038497925,0.007056117057800293,0.004249155521392822,7,10,1,vulnerable_changed,1,no,0,0,7,6,4,1,0,8,8,0,1.0,0,0.0
idx:194994,194994,tensorflow,c79ccba517dbb1a0ccb9b01ee3bd2a63748b60dd,1,CWE-401,CVE-2022-23578,105248557138287586060572648585871722551,immutable_executor_state.cc,2,6738,1425,179,0,0,100,56,11,24,101,1,0,3,4,3,2,1,1,,,,,7074,0,0,,,,,8728,0,0,,,,,7733,0,0,,,,,8069,0,0,,,,,43062,0,0,,2507,2,2509,10527,0,0,rag_inline_function_label,2708,2,2710,11398,0,0,baseline_compatible_grouped_no_label,2643,1,2644,10735,194994,194994,6738,179,2,24,0.9389801621437073,0.938157856464386,0.0008223056793212891,0.9193023815751076,0.938157856464386,0.9377615451812744,0.00328749418258667,0.001841902732849121,10,10,4,vulnerable_context,,unknown,18,0,10,4,6,4,0,8,1,7,0.125,1,0.5435644431995964
idx:218852,218852,tensorflow,c79ccba517dbb1a0ccb9b01ee3bd2a63748b60dd,0,CWE-401,CVE-2022-23578,156764801773187472412077288460661715117,immutable_executor_state.cc,1,6781,1434,180,0,0,101,57,11,24,102,1,0,3,4,3,2,0,1,,,,,7117,1,0,,,,,8771,1,0,,,,,7776,1,0,,,,,8112,0,1,,,,,43105,0,1,,2416,2,2418,10240,0,1,rag_inline_function_label,2737,2,2739,11407,0,1,baseline_compatible_grouped_no_label,2611,2,2613,10568,218852,218852,6781,180,2,24,0.9180470705032349,0.9167698621749878,0.0012772083282470703,0.907383494079113,0.9167698621749878,0.9137941598892212,0.0029757022857666016,0.0020257532596588135,10,10,4,vulnerable_context,,unknown,15,0,10,1,9,4,0,8,3,5,0.375,1,0.954434002924965
idx:194996,194996,tensorflow,4f38b1ac8e42727e18a2f0bde06d3bee8e77b250,1,CWE-476,CVE-2022-23577,90320046309155279319769139363770698236,loader_util.cc,3,1226,218,31,0,0,21,13,0,5,12,0,0,0,3,0,0,1,1,,,,,1562,1,1,,,,,3216,1,1,,,,,2221,1,1,,,,,2557,0,0,,,,,33579,0,0,,1160,2,1162,5125,0,0,rag_inline_function_label,1355,2,1357,5699,0,0,baseline_compatible_grouped_no_label,1363,4,1367,5416,194996,194996,1226,31,2,23,0.9355892539024353,0.934035062789917,0.0015541911125183105,0.9298527577648992,0.934035062789917,0.9328762292861938,0.0011588335037231445,0.001036524772644043,10,10,3,vulnerable_context,,unknown,9,0,10,2,8,3,0,8,4,4,0.5,1,1.0
idx:218933,218933,tensorflow,4f38b1ac8e42727e18a2f0bde06d3bee8e77b250,0,CWE-476,CVE-2022-23577,120370294428908534368713689048437773064,loader_util.cc,7,1491,258,36,0,0,23,13,0,6,14,0,0,0,4,0,0,0,1,,,,,1827,0,1,,,,,3481,0,1,,,,,2486,0,1,,,,,2822,0,1,,,,,60500,0,1,,1219,2,1221,5362,0,1,rag_inline_function_label,1355,2,1357,5896,0,1,baseline_compatible_grouped_no_label,1423,1,1424,5681,218933,218933,1491,36,2,22,0.9357309341430664,0.9353656768798828,0.00036525726318359375,0.9290250919081948,0.9340593814849854,0.9329200983047485,0.0011392831802368164,-0.00022733211517333984,10,10,2,vulnerable_context,,unknown,7,0,10,1,9,2,0,8,0,8,0.0,0,0.0
idx:194998,194998,tensorflow,240655511cd3e701155f944a972db71b6c0b1bb6,1,CWE-617,CVE-2022-23581,122664089420988233915419567191040959656,constant_folding.cc,2,2726,651,74,0,0,54,25,3,11,19,1,0,2,11,1,0,1,1,,,,,3062,1,1,,,,,4716,1,1,,,,,3721,1,1,,,,,4057,1,1,,,,,10813,1,1,,1507,2,1509,6504,0,0,rag_inline_function_label,1732,1,1733,7278,1,1,baseline_compatible_grouped_no_label,1571,2,1573,6449,194998,194998,2726,74,2,24,0.9321128129959106,0.9235973954200745,0.008515417575836182,0.9021830509106318,0.9209117889404297,0.9235973954200745,0.0003197789192199707,-0.0011829137802124023,10,10,4,vulnerable_context,,unknown,21,0,10,3,7,4,0,8,7,1,0.875,1,0.5435644431995964
idx:219032,219032,tensorflow,240655511cd3e701155f944a972db71b6c0b1bb6,0,CWE-617,CVE-2022-23581,262760907526734396914090099303096262406,constant_folding.cc,4,2762,673,76,0,0,54,24,3,13,19,1,0,2,13,1,0,1,0,,,,,3098,1,0,,,,,4752,1,0,,,,,3757,1,0,,,,,4093,1,0,,,,,10849,0,1,,1475,2,1477,6359,0,1,rag_inline_function_label,1695,1,1696,7154,1,0,baseline_compatible_grouped_no_label,1585,1,1586,6485,219032,219032,2762,76,2,22,0.9544575214385986,0.9520115256309509,0.002445995807647705,0.9116223562847484,0.9520115256309509,0.9544575214385986,0.0003197789192199707,-0.0010631084442138672,10,10,2,safe_background,0,yes,19,0,10,4,6,2,0,8,6,2,0.75,1,0.8112781244591328
idx:195017,195017,gpac,ad18ece95fa064efc0995c4ab2c985f77fb166ec,1,CWE-476,CVE-2021-40576,91218268849686441388880855658517990203,hint_track.c,1,455,110,14,0,0,2,2,0,5,20,0,0,0,4,0,0,1,1,,,,,791,1,1,,,,,2445,1,1,,,,,1450,1,1,,,,,1786,1,1,,,,,2625,1,1,,1089,2,1091,4381,1,1,rag_inline_function_label,1165,1,1166,4675,1,1,baseline_compatible_grouped_no_label,1393,4,1397,4806,195017,195017,455,14,2,22,0.9411735534667969,0.9388836026191711,0.0022899508476257324,0.9279414361173456,0.9411735534667969,0.9388836026191711,0.0022899508476257324,-0.00036856532096862793,10,10,2,vulnerable_changed,1,yes,16,0,10,3,7,2,0,8,8,0,1.0,0,0.0
idx:219912,219912,gpac,ad18ece95fa064efc0995c4ab2c985f77fb166ec,0,CWE-476,CVE-2021-40576,240641657114030682383886931707833033482,hint_track.c,1,466,116,14,0,0,2,2,0,5,20,0,0,0,4,0,0,1,0,,,,,802,1,0,,,,,2456,1,0,,,,,1461,1,0,,,,,1797,1,0,,,,,2636,1,0,,1093,1,1094,4392,1,0,rag_inline_function_label,1169,2,1171,4686,1,0,baseline_compatible_grouped_no_label,1397,4,1401,4817,219912,219912,466,14,2,24,0.9423142075538635,0.9411735534667969,0.0011406540870666504,0.9340852076808611,0.9411735534667969,0.9423142075538635,0.002289891242980957,-0.0004800856113433838,10,10,4,safe_background,0,yes,21,0,10,1,9,4,0,8,8,0,1.0,0,0.0
