sample_key,idx,target,project,cwe,char_len,line_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,retrieval_top1_score,retrieval_pos_neg_margin_max,retrieval_top1_evidence_role,zero_shot_pred,author_no_yes_pred,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,icl_message_chars,method_pred_entropy
idx:194994,194994,1,tensorflow,CWE-401,6738,179,1,0,3,4,3,0.9389801621437073,0.00328749418258667,vulnerable_context,1,0,1,0,0,0,0,43062,0.5435644431995964
idx:218852,218852,0,tensorflow,CWE-401,6781,180,1,0,3,4,3,0.9180470705032349,0.0029757022857666016,vulnerable_context,0,1,0,0,0,0,0,43105,0.954434002924965
idx:195019,195019,1,tensorflow,CWE-617,2808,75,4,0,4,9,3,0.9466097354888916,0.005847573280334473,vulnerable_changed,1,0,1,0,0,0,1,7857,0.954434002924965
idx:195056,195056,1,tensorflow,CWE-369,2670,65,0,0,0,1,0,0.942516028881073,0.0046010613441467285,vulnerable_changed,1,0,1,1,1,0,0,8608,1.0
idx:195274,195274,1,tensorflow,CWE-476,4637,118,0,0,1,14,2,0.9386633634567261,0.004723846912384033,vulnerable_changed,1,0,1,1,0,0,1,29879,1.0
idx:195293,195293,1,mruby,CWE-476,1302,59,0,0,18,2,0,0.9120312929153442,0.0025893449783325195,vulnerable_context,1,0,1,0,0,0,0,9500,0.8112781244591328
idx:195385,195385,1,flatpak,CWE-276,3354,89,0,0,0,57,0,0.935231626033783,0.008996784687042236,vulnerable_changed,1,0,1,0,0,0,1,37450,0.8112781244591328
idx:195410,195410,1,tensorflow,CWE-476,2921,58,2,0,1,1,0,0.9493675827980042,0.0026079416275024414,vulnerable_changed,1,0,1,0,1,1,1,9045,0.954434002924965
idx:241040,241040,0,booth,CWE-284,1025,50,0,1,1,10,0,0.9564363956451416,0.001924753189086914,vulnerable_changed,0,1,0,0,0,0,0,14700,0.5435644431995964
idx:241369,241369,0,tensorflow,CWE-354,10312,234,4,0,8,3,2,0.9436521530151367,0.007905125617980957,vulnerable_changed,0,1,0,0,0,0,1,18168,0.8112781244591328
idx:196705,196705,1,tensorflow,CWE-20,1242,31,0,0,1,5,0,0.9613152742385864,-0.00422823429107666,fixed_changed,1,0,1,0,0,0,1,9329,0.954434002924965
idx:196834,196834,1,tensorflow,CWE-125,338,8,0,0,0,1,0,0.9184739589691162,-0.004029273986816406,safe_background,1,0,1,0,0,0,1,8425,0.954434002924965
idx:196893,196893,1,envoy,CWE-362,1618,33,0,0,5,2,4,0.9494815468788147,-0.0010811090469360352,safe_background,1,0,1,0,1,0,1,23569,0.954434002924965
idx:197095,197095,1,tensorflow,CWE-369,4283,92,0,0,0,2,1,0.9095786809921265,0.0016223788261413574,vulnerable_changed,1,0,1,0,0,0,0,12558,0.8112781244591328
