sample_key,idx,target,project,cwe,char_len,line_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,retrieval_top1_score,retrieval_pos_neg_margin_max,retrieval_top1_evidence_role,zero_shot_pred,balanced_grouped_no_label_bc_pred,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,icl_message_chars,method_pred_entropy
idx:194994,194994,1,tensorflow,CWE-401,6738,179,1,0,3,4,3,0.9389801621437073,0.00328749418258667,vulnerable_context,1,0,1,0,0,0,0,43062,0.5435644431995964
idx:194996,194996,1,tensorflow,CWE-476,1226,31,0,0,0,3,0,0.9355892539024353,0.0011588335037231445,vulnerable_context,1,0,1,0,0,0,0,33579,1.0
idx:195056,195056,1,tensorflow,CWE-369,2670,65,0,0,0,1,0,0.942516028881073,0.0046010613441467285,vulnerable_changed,1,0,1,1,1,0,0,8608,1.0
idx:220909,220909,0,tensorflow,CWE-617,1185,42,0,0,0,11,0,0.9167453646659851,0.007836639881134033,safe_background,0,1,0,0,0,0,1,8909,0.5435644431995964
idx:195293,195293,1,mruby,CWE-476,1302,59,0,0,18,2,0,0.9120312929153442,0.0025893449783325195,vulnerable_context,1,0,1,0,0,0,0,9500,0.8112781244591328
idx:224964,224964,0,flatpak,CWE-276,3627,96,0,0,0,63,0,0.9340403079986572,0.0071863532066345215,vulnerable_changed,0,1,0,0,0,0,1,37723,0.5435644431995964
idx:225383,225383,0,v4l2loopback,CWE-134,1518,49,1,2,7,1,0,0.9611207246780396,0.002740621566772461,vulnerable_changed,0,1,0,0,1,1,1,3171,1.0
idx:195692,195692,1,FreeRTOS-Kernel,CWE-200,2805,55,0,0,2,5,0,0.9151371717453003,-0.0006622076034545898,fixed_changed,1,0,1,1,1,1,0,15055,0.5435644431995964
idx:241369,241369,0,tensorflow,CWE-354,10312,234,4,0,8,3,2,0.9436521530151367,0.007905125617980957,vulnerable_changed,0,1,0,0,0,0,1,18168,0.8112781244591328
idx:242619,242619,0,tensorflow,CWE-703,517,17,0,0,3,1,1,0.9504944682121277,0.0,safe_background,0,1,0,0,0,1,1,12230,0.954434002924965
idx:245921,245921,0,tensorflow,CWE-476,1071,24,0,0,0,4,0,0.9027320742607117,-0.0002371072769165039,safe_background,0,1,0,0,0,0,1,12784,0.5435644431995964
idx:246207,246207,0,tensorflow,CWE-125,420,10,0,0,0,1,0,0.9372918605804443,0.0032930374145507812,vulnerable_changed,0,1,0,0,0,0,1,8507,0.8112781244591328
idx:196894,196894,1,cryptopp,CWE-399,1059,35,0,0,0,4,0,0.92615807056427,0.0,safe_background,1,0,1,1,1,0,0,11556,0.954434002924965
idx:197095,197095,1,tensorflow,CWE-369,4283,92,0,0,0,2,1,0.9095786809921265,0.0016223788261413574,vulnerable_changed,1,0,1,0,0,0,0,12558,0.8112781244591328
idx:197326,197326,1,tensorflow,CWE-703,2300,56,0,0,2,1,0,0.9412029981613159,0.0002384781837463379,vulnerable_context,1,0,1,0,0,0,0,62982,0.954434002924965
idx:197760,197760,1,tensorflow,CWE-125,1030,24,0,0,0,8,0,0.9496239423751831,0.0020112991333007812,vulnerable_changed,1,0,1,0,0,0,0,4164,0.5435644431995964
idx:198452,198452,1,tensorflow,CWE-703,1722,37,0,0,0,0,0,0.9537745118141174,0.004415750503540039,vulnerable_changed,1,0,1,0,0,0,0,6340,0.5435644431995964
idx:198743,198743,1,LuaJIT,CWE-125,1384,50,0,0,1,11,0,0.9278562068939209,0.008090615272521973,vulnerable_changed,1,0,1,0,0,0,0,6971,0.954434002924965
idx:199778,199778,1,puma,CWE-444,19279,953,0,0,34,381,0,0.9263651371002197,0.003126680850982666,vulnerable_changed,1,0,1,1,1,1,0,95703,0.8112781244591328
idx:296226,296226,0,vim,CWE-416,31465,1132,16,0,13,110,17,0.9961702823638916,0.037874579429626465,vulnerable_changed,0,1,0,0,1,0,1,82761,0.954434002924965
idx:200895,200895,1,vim,CWE-703,1117,43,0,0,0,15,1,0.9470387697219849,-0.0023993849754333496,safe_background,1,0,1,0,0,0,0,22592,0.954434002924965
idx:317271,317271,0,linux,CWE-416,203,6,0,0,0,3,0,0.9385791420936584,-0.007439255714416504,safe_background,0,1,0,0,0,0,1,1109,1.0
