sample_key,idx,target,project,cwe,char_len,line_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,retrieval_top1_score,retrieval_pos_neg_margin_max,retrieval_top1_evidence_role,zero_shot_pred,icl_pred,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,icl_message_chars,method_pred_entropy
idx:194994,194994,1,tensorflow,CWE-401,6738,179,1,0,3,4,3,0.9389801621437073,0.00328749418258667,vulnerable_context,1,0,1,0,0,0,0,43062,0.5435644431995964
idx:194996,194996,1,tensorflow,CWE-476,1226,31,0,0,0,3,0,0.9355892539024353,0.0011588335037231445,vulnerable_context,1,0,1,0,0,0,0,33579,1.0
idx:195019,195019,1,tensorflow,CWE-617,2808,75,4,0,4,9,3,0.9466097354888916,0.005847573280334473,vulnerable_changed,1,0,1,0,0,0,1,7857,0.954434002924965
idx:195026,195026,1,linux,CWE-909,1703,78,1,0,0,22,1,0.9666721224784851,0.0028592944145202637,vulnerable_changed,1,0,1,0,0,0,1,8655,0.954434002924965
idx:195028,195028,1,tensorflow,CWE-401,4634,94,2,0,11,7,3,0.9367724657058716,0.004166722297668457,vulnerable_changed,1,0,1,0,1,1,1,12732,0.5435644431995964
idx:195029,195029,1,tensorflow,CWE-125,2052,62,1,0,4,6,0,0.9451507329940796,0.002110421657562256,vulnerable_changed,1,0,1,0,1,0,1,23683,0.954434002924965
idx:195073,195073,1,tensorflow,CWE-416,4701,95,2,0,11,7,3,0.9432036876678467,0.004166722297668457,vulnerable_context,1,0,1,0,1,1,1,12799,0.5435644431995964
idx:195082,195082,1,linux,CWE-862,1076,40,0,0,0,1,0,0.9523025155067444,0.005227863788604736,vulnerable_changed,1,0,1,0,0,0,1,6769,0.954434002924965
idx:221651,221651,0,hermes,CWE-843,2034,64,0,0,0,15,0,0.9304217100143433,0.006906986236572266,vulnerable_changed,0,1,0,1,0,0,0,46954,0.5435644431995964
idx:223368,223368,0,pcre2,CWE-125,22737,734,0,0,3,23,0,0.9262903928756714,0.007847905158996582,vulnerable_changed,0,1,0,1,0,0,0,60618,0.5435644431995964
idx:195291,195291,1,tensorflow,CWE-908,3667,87,2,0,0,5,0,0.9583176374435425,0.0,safe_background,1,0,1,0,1,1,1,10517,0.5435644431995964
idx:195293,195293,1,mruby,CWE-476,1302,59,0,0,18,2,0,0.9120312929153442,0.0025893449783325195,vulnerable_context,1,0,1,0,0,0,0,9500,0.8112781244591328
idx:195294,195294,1,tensorflow,CWE-843,967,27,0,0,1,1,1,0.9599606990814209,0.001466989517211914,safe_background,1,0,1,0,0,0,1,7091,0.954434002924965
idx:195308,195308,1,flatpak,CWE-20,10440,275,0,4,0,34,1,0.9748321771621704,0.001347362995147705,vulnerable_changed,1,0,1,0,1,0,1,28053,0.8112781244591328
idx:195385,195385,1,flatpak,CWE-276,3354,89,0,0,0,57,0,0.935231626033783,0.008996784687042236,vulnerable_changed,1,0,1,0,0,0,1,37450,0.8112781244591328
idx:225062,225062,0,postgres,CWE-522,47132,1623,8,9,27,193,29,0.9400221109390259,0.006590843200683594,vulnerable_changed,0,1,0,1,0,0,0,56241,0.5435644431995964
idx:195391,195391,1,tensorflow,CWE-190,4681,107,0,0,13,3,0,0.9594714045524597,0.0034638047218322754,vulnerable_changed,1,0,1,0,1,1,1,11531,0.5435644431995964
idx:195399,195399,1,tensorflow,CWE-476,449,14,0,0,0,3,0,0.9233471155166626,-0.0029261112213134766,safe_background,1,0,1,0,1,1,1,8173,0.5435644431995964
idx:195410,195410,1,tensorflow,CWE-476,2921,58,2,0,1,1,0,0.9493675827980042,0.0026079416275024414,vulnerable_changed,1,0,1,0,1,1,1,9045,0.954434002924965
idx:195471,195471,1,weechat,CWE-476,3200,105,3,5,4,32,2,0.9251090884208679,0.004722297191619873,vulnerable_changed,1,0,1,0,1,0,1,12456,0.8112781244591328
idx:195720,195720,1,mvfst,CWE-703,3323,80,0,0,1,0,1,0.9019692540168762,0.004237353801727295,vulnerable_changed,1,0,1,0,1,0,1,29850,0.8112781244591328
idx:195740,195740,1,libjpeg,CWE-703,6317,170,0,0,11,12,3,0.9484370946884155,0.0031682252883911133,vulnerable_changed,1,0,1,0,1,1,1,31347,0.5435644431995964
