sample_key,idx,target,project,cwe,char_len,line_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,retrieval_top1_score,retrieval_pos_neg_margin_max,retrieval_top1_evidence_role,zero_shot_pred,icl_pred,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,icl_message_chars,method_pred_entropy
idx:219931,219931,0,tensorflow,CWE-617,3008,80,4,0,4,10,4,0.9384267330169678,0.005847573280334473,vulnerable_changed,1,0,1,0,0,0,1,8057,0.954434002924965
idx:219947,219947,0,glewlwyd,CWE-287,9884,137,0,0,0,47,0,0.9502125382423401,0.0025119781494140625,vulnerable_changed,1,0,1,0,1,1,1,35369,0.5435644431995964
idx:220100,220100,0,linux,CWE-909,1686,78,1,0,0,21,1,0.9666721224784851,0.0028592944145202637,vulnerable_changed,1,0,1,0,1,0,1,8638,1.0
idx:220168,220168,0,tensorflow,CWE-401,5125,104,2,0,11,10,6,0.9367724657058716,0.004166901111602783,vulnerable_changed,1,0,1,0,1,1,1,13223,0.5435644431995964
idx:220449,220449,0,tensorflow,CWE-354,4232,92,0,0,0,2,0,0.9656845331192017,0.0017314553260803223,vulnerable_changed,1,0,1,0,1,1,1,32032,0.5435644431995964
idx:220841,220841,0,tensorflow,CWE-369,2700,66,0,0,0,2,0,0.947236180305481,0.00287550687789917,vulnerable_changed,1,0,1,0,1,0,1,8638,0.8112781244591328
idx:221123,221123,0,tensorflow,CWE-416,4663,94,2,0,11,7,3,0.953524649143219,0.0004781484603881836,vulnerable_changed,1,0,1,0,1,1,1,12761,0.5435644431995964
idx:221413,221413,0,linux,CWE-862,1161,43,0,0,0,1,0,0.9523025155067444,0.005227863788604736,vulnerable_changed,1,0,1,0,1,0,1,6854,0.954434002924965
idx:222666,222666,0,tmate-ssh-server,CWE-362,2025,73,0,0,0,5,0,0.9530565738677979,0.01491236686706543,vulnerable_changed,1,0,1,0,1,0,1,30891,0.8112781244591328
idx:223089,223089,0,ImageMagick,CWE-190,8029,257,4,7,38,52,0,1.0,0.011409521102905273,vulnerable_changed,1,0,1,0,1,1,1,23778,0.5435644431995964
idx:195264,195264,1,pcre2,CWE-125,22734,734,0,0,3,23,0,0.9262903928756714,0.007847905158996582,vulnerable_changed,0,1,0,1,0,0,0,60615,0.5435644431995964
idx:224153,224153,0,tensorflow,CWE-908,3946,93,2,0,0,5,0,0.9304990768432617,0.0007904767990112305,vulnerable_context,1,0,1,0,0,0,1,10796,0.954434002924965
idx:224154,224154,0,mruby,CWE-476,1318,59,0,0,18,2,0,0.9120312929153442,0.0025893449783325195,vulnerable_context,1,0,1,0,0,1,1,9516,0.954434002924965
idx:224181,224181,0,tensorflow,CWE-843,1181,32,0,0,1,1,1,0.9479848742485046,0.0014670491218566895,fixed_changed,1,0,1,0,0,0,1,7305,0.954434002924965
idx:224277,224277,0,flatpak,CWE-20,10472,276,0,4,0,34,1,0.9703056216239929,0.006871700286865234,vulnerable_changed,1,0,1,0,0,0,1,28085,0.954434002924965
idx:225552,225552,0,tensorflow,CWE-190,263,8,1,0,4,5,0,0.9447267055511475,-0.0007597804069519043,safe_background,1,0,1,0,1,0,1,3891,0.954434002924965
idx:225566,225566,0,ImageMagick6,CWE-190,8015,259,4,7,38,51,0,0.9999998807907104,0.00982201099395752,vulnerable_context,1,0,1,0,1,1,1,23713,0.5435644431995964
idx:226433,226433,0,tensorflow,CWE-476,3181,59,2,0,1,1,0,0.9583321213722229,-0.0016922950744628906,vulnerable_context,1,0,1,0,1,1,1,9305,0.8112781244591328
idx:227022,227022,0,weechat,CWE-476,3216,105,3,5,4,32,2,0.9251090884208679,0.004722297191619873,vulnerable_changed,1,0,1,0,1,0,1,12472,0.8112781244591328
idx:195629,195629,1,tensorflow,CWE-476,1859,42,0,0,0,7,1,0.9446703791618347,0.014657318592071533,vulnerable_changed,0,1,0,1,0,0,0,13572,0.8112781244591328
