sample_key,idx,target,project,cwe,char_len,line_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,retrieval_top1_score,retrieval_pos_neg_margin_max,retrieval_top1_evidence_role,zero_shot_pred,positive_weighted_rag_pred,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,icl_message_chars,method_pred_entropy
idx:219032,219032,0,tensorflow,CWE-617,2762,76,1,0,2,13,1,0.9544575214385986,0.0003197789192199707,safe_background,1,0,1,1,0,0,1,10849,0.8112781244591328
idx:219931,219931,0,tensorflow,CWE-617,3008,80,4,0,4,10,4,0.9384267330169678,0.005847573280334473,vulnerable_changed,1,0,1,0,0,0,1,8057,0.954434002924965
idx:220100,220100,0,linux,CWE-909,1686,78,1,0,0,21,1,0.9666721224784851,0.0028592944145202637,vulnerable_changed,1,0,1,0,1,0,1,8638,1.0
idx:220201,220201,0,tensorflow,CWE-125,2328,68,1,0,4,7,0,0.9549214839935303,0.002110421657562256,vulnerable_changed,1,0,1,1,0,0,0,42508,1.0
idx:220463,220463,0,tensorflow,CWE-476,2769,64,2,0,0,8,0,0.9284628629684448,0.0033898353576660156,vulnerable_changed,1,0,1,1,0,0,1,7818,0.8112781244591328
idx:220841,220841,0,tensorflow,CWE-369,2700,66,0,0,0,2,0,0.947236180305481,0.00287550687789917,vulnerable_changed,1,0,1,0,1,0,1,8638,0.8112781244591328
idx:221413,221413,0,linux,CWE-862,1161,43,0,0,0,1,0,0.9523025155067444,0.005227863788604736,vulnerable_changed,1,0,1,0,1,0,1,6854,0.954434002924965
idx:221428,221428,0,tensorflow,CWE-617,1679,40,0,0,0,10,0,0.9359503984451294,0.006881415843963623,vulnerable_changed,1,0,1,1,1,0,0,9766,0.8112781244591328
idx:222666,222666,0,tmate-ssh-server,CWE-362,2025,73,0,0,0,5,0,0.9530565738677979,0.01491236686706543,vulnerable_changed,1,0,1,0,1,0,1,30891,0.8112781244591328
idx:223728,223728,0,tensorflow,CWE-476,4724,121,0,0,1,17,2,0.9268399477005005,0.00521320104598999,vulnerable_changed,1,0,1,1,0,0,1,29966,0.954434002924965
idx:224153,224153,0,tensorflow,CWE-908,3946,93,2,0,0,5,0,0.9304990768432617,0.0007904767990112305,vulnerable_context,1,0,1,0,0,0,1,10796,0.954434002924965
idx:224181,224181,0,tensorflow,CWE-843,1181,32,0,0,1,1,1,0.9479848742485046,0.0014670491218566895,fixed_changed,1,0,1,0,0,0,1,7305,0.954434002924965
idx:224277,224277,0,flatpak,CWE-20,10472,276,0,4,0,34,1,0.9703056216239929,0.006871700286865234,vulnerable_changed,1,0,1,0,0,0,1,28085,0.954434002924965
idx:225552,225552,0,tensorflow,CWE-190,263,8,1,0,4,5,0,0.9447267055511475,-0.0007597804069519043,safe_background,1,0,1,0,1,0,1,3891,0.954434002924965
idx:227022,227022,0,weechat,CWE-476,3216,105,3,5,4,32,2,0.9251090884208679,0.004722297191619873,vulnerable_changed,1,0,1,0,1,0,1,12472,0.8112781244591328
idx:229337,229337,0,tensorflow,CWE-476,1966,45,0,0,0,8,1,0.9409423470497131,0.014657318592071533,vulnerable_changed,1,0,1,1,0,0,0,13679,1.0
idx:231710,231710,0,mvfst,CWE-703,3434,83,0,0,1,0,0,0.9019692540168762,0.004237353801727295,vulnerable_changed,1,0,1,1,1,0,1,29961,0.8112781244591328
idx:232405,232405,0,tensorflow,CWE-476,2915,58,2,0,1,1,0,0.9493675827980042,0.0026079416275024414,vulnerable_changed,1,0,1,0,0,0,1,9039,1.0
idx:232839,232839,0,tensorflow,CWE-703,1205,26,2,0,0,1,0,0.9646369218826294,-0.0013327598571777344,fixed_changed,1,0,1,0,1,0,1,5479,0.8112781244591328
idx:233862,233862,0,deark,CWE-369,1471,49,0,0,1,0,0,0.9487913846969604,0.0006301999092102051,vulnerable_changed,1,0,1,0,1,0,0,5542,0.954434002924965
idx:238322,238322,0,barebox,CWE-200,305,20,1,0,3,2,1,0.939910352230072,-0.0016684532165527344,fixed_changed,1,0,1,0,1,0,0,4655,0.8112781244591328
idx:242637,242637,0,gpac,CWE-703,12031,365,2,0,7,26,0,0.9511579275131226,0.004747152328491211,vulnerable_changed,1,0,1,1,0,0,0,30846,0.954434002924965
idx:242926,242926,0,tensorflow,CWE-20,2303,60,0,0,8,10,0,0.9550331830978394,0.0002181529998779297,vulnerable_changed,1,0,1,0,0,0,1,11997,1.0
idx:245140,245140,0,tensorflow,CWE-703,4067,85,0,0,11,6,0,0.9419932961463928,0.002238929271697998,vulnerable_context,1,0,1,0,0,0,1,16620,0.954434002924965
idx:246237,246237,0,furnace,CWE-703,12980,281,0,10,16,3,0,0.9327089786529541,0.0039899349212646484,vulnerable_changed,1,0,1,1,1,0,1,64077,0.5435644431995964
idx:196846,196846,1,tensorflow,CWE-369,1159,30,0,0,0,2,0,0.9348767399787903,0.0,fixed_changed,0,1,0,0,0,1,0,4293,0.5435644431995964
idx:247550,247550,0,envoy,CWE-362,2972,62,0,0,11,3,10,0.9403511881828308,0.0003101229667663574,vulnerable_changed,1,0,1,0,1,0,0,24923,0.954434002924965
idx:247755,247755,0,cryptopp,CWE-399,1215,41,0,0,0,4,0,0.92615807056427,-0.002728879451751709,safe_background,1,0,1,1,0,0,1,11441,0.954434002924965
idx:251946,251946,0,tensorflow,CWE-369,4315,92,0,0,0,3,1,0.9095786809921265,0.0016223788261413574,vulnerable_changed,1,0,1,0,0,0,1,12590,0.954434002924965
idx:255574,255574,0,njs,CWE-787,1139,57,0,0,12,11,0,0.9399200677871704,0.0022968053817749023,vulnerable_changed,1,0,1,1,1,0,1,4930,0.5435644431995964
idx:255932,255932,0,tensorflow,CWE-369,3318,80,1,0,21,5,0,0.9360512495040894,0.006406426429748535,vulnerable_changed,1,0,1,1,0,0,0,11405,0.8112781244591328
idx:256947,256947,0,tensorflow,CWE-703,2375,58,0,0,2,1,0,0.9412029981613159,0.0002384781837463379,vulnerable_context,1,0,1,0,0,0,0,63057,1.0
idx:257461,257461,0,tensorflow,CWE-703,5002,125,0,0,7,6,0,0.9268859028816223,0.012466609477996826,vulnerable_changed,1,0,1,0,1,0,0,27411,0.954434002924965
idx:259619,259619,0,libjpeg,CWE-787,1217,34,2,0,4,4,0,0.9436853528022766,0.004355490207672119,vulnerable_changed,1,0,1,0,0,0,1,34067,1.0
idx:261220,261220,0,wolfMQTT,CWE-787,7575,242,0,0,2,29,2,0.9409051537513733,0.004338979721069336,vulnerable_changed,1,0,1,1,0,0,1,31897,0.8112781244591328
idx:262721,262721,0,njs,CWE-703,4564,177,0,0,12,27,0,0.9620441198348999,0.010572075843811035,vulnerable_changed,1,0,1,1,1,0,1,68375,0.5435644431995964
idx:268104,268104,0,tensorflow,CWE-703,11370,236,2,0,22,5,0,0.9522072076797485,0.0022434592247009277,vulnerable_changed,1,0,1,0,1,0,1,22332,0.8112781244591328
idx:271526,271526,0,tensorflow,CWE-369,4881,106,0,0,9,3,0,0.9606647491455078,0.003368377685546875,vulnerable_changed,1,0,1,1,0,0,1,11029,0.8112781244591328
idx:273091,273091,0,owntone-server,CWE-416,2738,95,0,1,9,15,3,0.9518667459487915,0.001396775245666504,vulnerable_changed,1,0,1,0,1,0,0,15388,0.8112781244591328
idx:274865,274865,0,tensorflow,CWE-703,1608,35,0,0,0,0,0,0.9537745118141174,0.004216611385345459,vulnerable_changed,1,0,1,0,0,0,0,6226,0.5435644431995964
idx:275525,275525,0,njs,CWE-416,2071,77,0,0,1,8,0,0.9546932578086853,0.0010112524032592773,vulnerable_changed,1,0,1,0,0,0,1,65882,0.954434002924965
idx:282862,282862,0,linux,CWE-401,660,25,1,0,0,6,0,0.9631800055503845,2.0444393157958984e-05,vulnerable_changed,1,0,1,0,1,0,1,9227,0.8112781244591328
idx:282984,282984,0,LuaJIT,CWE-125,1412,51,0,0,1,11,0,0.9297592043876648,0.008090615272521973,fixed_changed,1,0,1,0,0,0,0,6999,0.954434002924965
idx:293750,293750,0,radare2,CWE-476,1681,72,0,0,3,13,0,0.9361079931259155,0.0013915300369262695,safe_background,1,0,1,0,1,0,1,36538,0.8112781244591328
idx:293939,293939,0,vim,CWE-787,5668,223,1,0,11,23,0,0.939593493938446,0.0045683979988098145,vulnerable_changed,1,0,1,0,1,0,1,61041,0.8112781244591328
idx:300731,300731,0,linux,CWE-200,3487,123,1,0,1,19,0,0.9612436294555664,0.006992459297180176,vulnerable_changed,1,0,1,0,1,0,1,12652,0.8112781244591328
idx:301429,301429,0,samba,CWE-665,8880,330,2,0,17,54,0,0.9459726214408875,0.004195272922515869,vulnerable_changed,1,0,1,0,0,0,1,66751,0.954434002924965
idx:302095,302095,0,radare2,CWE-476,786,25,1,0,3,5,1,0.9479385614395142,0.0039435625076293945,vulnerable_changed,1,0,1,1,0,0,0,4620,0.954434002924965
idx:308163,308163,0,linux,CWE-401,686,29,2,0,2,4,1,0.962834358215332,0.0010898709297180176,vulnerable_changed,1,0,1,0,0,0,0,5953,1.0
idx:312399,312399,0,vim,CWE-703,1303,52,0,0,0,18,1,0.9445793628692627,-0.0018973350524902344,fixed_changed,1,0,1,0,0,0,1,22778,0.954434002924965
idx:318099,318099,0,wireless-drivers,CWE-415,1400,58,3,0,1,7,0,0.9648504853248596,5.9664249420166016e-05,vulnerable_changed,1,0,1,1,0,0,1,8379,0.8112781244591328
idx:326119,326119,0,vim,CWE-416,34649,1495,3,0,48,76,7,0.9477280378341675,0.008198976516723633,vulnerable_changed,1,0,1,0,1,0,1,77465,1.0
idx:326914,326914,0,linux,CWE-476,1317,69,5,0,2,13,1,0.9506479501724243,0.004464507102966309,vulnerable_changed,1,0,1,0,0,0,1,7777,1.0
idx:328807,328807,0,vim,CWE-787,20005,766,6,0,30,87,14,0.9414843916893005,0.004342079162597656,vulnerable_changed,1,0,1,1,1,0,1,75378,0.5435644431995964
idx:336807,336807,0,ghostpdl,CWE-787,920,26,0,0,0,2,0,0.9549639225006104,0.005755364894866943,vulnerable_changed,1,0,1,0,1,0,1,7437,0.8112781244591328
idx:343175,343175,0,linux,CWE-787,2029,91,0,0,5,12,0,0.9555221199989319,0.00034034252166748047,vulnerable_changed,1,0,1,1,1,0,1,11461,0.5435644431995964
idx:357668,357668,0,squirrel,CWE-125,1893,50,0,0,3,5,1,0.9335641860961914,0.003322780132293701,vulnerable_changed,1,0,1,1,1,0,1,35071,0.5435644431995964
idx:365760,365760,0,linux,CWE-703,827,35,3,0,0,3,2,0.9579364061355591,0.005418658256530762,vulnerable_changed,1,0,1,0,1,0,1,4911,0.8112781244591328
idx:373535,373535,0,ovs,CWE-401,1051,27,0,0,1,0,0,0.9436839818954468,-0.0015590786933898926,vulnerable_context,1,0,1,1,0,0,1,4268,0.954434002924965
idx:379671,379671,0,radare2,CWE-416,5476,177,8,8,0,28,8,0.9434003829956055,0.0028003454208374023,vulnerable_context,1,0,1,1,1,0,0,26020,0.954434002924965
idx:382797,382797,0,php-src,CWE-119,400,24,1,0,3,2,0,0.9676592946052551,-0.011069297790527344,vulnerable_context,1,0,1,1,1,0,1,2140,0.8112781244591328
idx:384201,384201,0,linux,CWE-703,1517,66,0,0,2,16,0,0.9469802379608154,0.003998160362243652,vulnerable_changed,1,0,1,0,1,0,1,10791,0.8112781244591328
idx:389760,389760,0,jasper,CWE-703,4234,170,1,0,2,4,0,0.9437704682350159,0.005607903003692627,vulnerable_changed,1,0,1,0,1,0,0,28306,0.954434002924965
idx:391627,391627,0,linux,CWE-120,400,23,0,1,4,3,0,0.9494621157646179,0.0002548694610595703,vulnerable_changed,1,0,1,0,0,0,1,2598,0.954434002924965
idx:207719,207719,1,vim,CWE-787,569,26,0,0,0,1,0,0.9650080800056458,-0.0014399886131286621,fixed_changed,0,1,0,0,1,1,1,11890,0.954434002924965
idx:405333,405333,0,linux,CWE-703,954,47,0,0,0,4,0,0.9549126625061035,0.002516627311706543,vulnerable_context,1,0,1,0,1,0,0,6751,1.0
idx:405698,405698,0,linux,CWE-703,2256,88,0,0,1,14,1,0.9444020390510559,0.0026059746742248535,vulnerable_changed,1,0,1,1,0,0,1,10118,0.8112781244591328
idx:411896,411896,0,tor,CWE-399,17737,536,3,16,10,149,0,0.9442147612571716,0.012594461441040039,vulnerable_changed,1,0,1,0,1,0,1,55590,0.954434002924965
idx:412332,412332,0,rizin,CWE-415,144,5,0,0,0,3,0,0.9434301853179932,-0.011324584484100342,safe_background,1,0,1,0,0,0,1,7411,0.8112781244591328
idx:417093,417093,0,MilkyTracker,CWE-416,251,17,4,0,0,0,4,0.9147615432739258,-0.009276151657104492,safe_background,1,0,1,0,0,0,0,1952,0.954434002924965
idx:424969,424969,0,linux,CWE-476,5161,189,0,1,5,19,0,0.9595833420753479,0.0016521215438842773,vulnerable_changed,1,0,1,0,0,0,1,14532,0.954434002924965
idx:432247,432247,0,unicorn,CWE-476,406,17,0,0,0,3,0,0.9266179800033569,-5.960464477539063e-08,fixed_changed,1,0,1,0,1,0,0,5733,0.954434002924965
idx:443152,443152,0,linux,CWE-476,960,40,0,0,0,0,1,0.9560534358024597,0.003740549087524414,vulnerable_changed,1,0,1,0,1,0,1,17951,0.954434002924965
idx:444900,444900,0,cifs-utils,CWE-20,3041,122,1,0,0,15,1,0.9583010077476501,-0.0013346672058105469,safe_background,1,0,1,1,0,0,1,15080,0.954434002924965
idx:447231,447231,0,php-src,CWE-17,2818,117,1,3,15,20,0,0.9999998807907104,-0.003058195114135742,safe_background,1,0,1,0,0,0,1,9506,1.0
idx:451731,451731,0,ntp,CWE-20,2436,134,0,3,10,1,0,0.9467198848724365,0.007222175598144531,vulnerable_changed,1,0,1,0,0,0,1,24889,1.0
idx:452994,452994,0,nf,CWE-269,1137,57,3,0,1,13,0,0.9436362385749817,-0.000278472900390625,safe_background,1,0,1,0,0,0,1,24003,0.954434002924965
idx:453109,453109,0,libexpat,CWE-668,5684,148,1,0,40,21,1,0.9550554156303406,0.005196869373321533,vulnerable_changed,1,0,1,0,1,0,1,29173,0.8112781244591328
idx:455177,455177,0,libmobi,CWE-119,2146,54,1,0,7,25,1,0.9550154209136963,0.0009453296661376953,vulnerable_changed,1,0,1,1,0,0,1,10838,0.8112781244591328
idx:459107,459107,0,linux,CWE-416,5631,233,3,0,3,71,1,0.9575740694999695,0.007413268089294434,vulnerable_changed,1,0,1,1,1,0,1,35598,0.5435644431995964
idx:459400,459400,0,vim,CWE-416,17024,696,4,1,21,47,3,0.9342244863510132,0.010997653007507324,vulnerable_changed,1,0,1,1,1,0,0,68919,1.0
idx:462316,462316,0,ghostpdl,CWE-787,536,15,1,0,5,3,0,0.9533783793449402,-0.001347959041595459,safe_background,1,0,1,0,1,0,1,12595,0.954434002924965
idx:463134,463134,0,cyrus-imapd,CWE-732,3416,106,2,0,11,15,1,0.9543605446815491,0.00784599781036377,vulnerable_changed,1,0,1,0,0,0,1,42408,1.0
idx:468349,468349,0,glib,CWE-754,3727,113,0,0,0,14,1,0.9401930570602417,0.004388570785522461,vulnerable_context,1,0,1,0,1,0,1,16726,0.954434002924965
idx:472123,472123,0,linux,CWE-416,2262,86,0,2,3,21,1,0.9527409672737122,-6.622076034545898e-05,fixed_changed,1,0,1,0,0,0,1,27966,0.954434002924965
idx:481267,481267,0,linux,CWE-401,2357,83,0,0,3,16,0,0.9692442417144775,0.002170741558074951,vulnerable_changed,1,0,1,0,0,0,1,23845,0.954434002924965
idx:481787,481787,0,nagioscore,CWE-476,782,33,0,2,1,11,0,0.9521070718765259,-0.0006379485130310059,safe_background,1,0,1,0,0,0,0,15049,0.954434002924965
idx:215073,215073,1,linux,CWE-269,503,17,0,0,4,2,0,0.9385315179824829,0.0010017156600952148,vulnerable_changed,0,1,0,0,0,1,1,3982,0.8112781244591328
idx:215264,215264,1,perl5,CWE-120,81477,1975,4,0,31,85,13,0.9491892457008362,0.008784592151641846,vulnerable_changed,0,1,0,1,1,1,1,91073,0.5435644431995964
idx:497809,497809,0,grep,CWE-119,2383,82,0,0,21,10,0,0.9999998807907104,-0.013738155364990234,safe_background,1,0,1,0,1,0,0,7467,0.954434002924965
idx:500044,500044,0,openssl,CWE-20,1670,56,0,0,0,17,0,0.9501060843467712,-0.006928682327270508,fixed_changed,1,0,1,0,0,0,0,18764,0.954434002924965
idx:500663,500663,0,libssh,CWE-399,2430,90,0,0,0,25,0,0.9490871429443359,0.003929734230041504,vulnerable_changed,1,0,1,0,0,0,1,10374,0.954434002924965
idx:503985,503985,0,core,CWE-20,4359,110,2,6,8,45,0,0.941413402557373,0.005802273750305176,vulnerable_changed,1,0,1,1,0,0,0,20030,0.954434002924965
idx:506428,506428,0,core,CWE-125,342,20,1,0,8,3,0,0.9414756894111633,0.004462599754333496,vulnerable_context,1,0,1,0,1,0,1,2091,1.0
idx:513202,513202,0,server,CWE-416,435,14,1,1,7,0,0,0.9570538401603699,-0.003479301929473877,fixed_changed,1,0,1,0,1,0,0,1954,0.8112781244591328
