error_type,avg_char_len,avg_yes_vote_count,length_bucket,n,pred_0,pred_1,target_0,target_1
correct,963.92,4.81,short_<2k,203,34,169,34,169
FP,1079.15,5.64,short_<2k,150,0,150,150,0
correct,3144.22,5.52,medium_2k_5k,133,11,122,11,122
FP,3187.32,5.86,medium_2k_5k,121,0,121,121,0
correct,6919.24,5.69,long_5k_10k,59,6,53,6,53
FP,6885.36,6.39,long_5k_10k,56,0,56,56,0
correct,23451.0,5.47,very_long_10k_plus,55,6,49,6,49
FP,23758.27,6.08,very_long_10k_plus,49,0,49,49,0
FN,747.56,0.04,short_<2k,25,25,0,0,25
FN,3384.57,0.14,medium_2k_5k,7,7,0,0,7
FN,21642.17,0.33,very_long_10k_plus,6,6,0,0,6
FN,7079.5,0.0,long_5k_10k,4,4,0,0,4
