"table","family","evidence","n","acc","precision","recall","f1","vuln_rate","tp","fp","tn","fn","f1_ci_low","f1_ci_high","vuln_rate_ci_low","vuln_rate_ci_high","path"
"rag_ablation","RAG-only","Target focus","868","0.5449308755760369","0.5465116279069767","0.5402298850574713","0.5433526011560693","0.49539170506912444","235","195","238","200","0.5034387560820817","0.5817392448444094","0.4619815668202765","0.5288306451612904","outdir/prompt_ablation_glm51_test870/glm-5.1_std_cls_target_focus_fewshotegFalse_cls0_predictions.csv"
"rag_ablation","RAG-only","No-label evidence","868","0.5230414746543779","0.5231788079470199","0.5448275862068965","0.5337837837837838","0.521889400921659","237","216","217","198","0.4955136474394414","0.572694662789247","0.48963133640552997","0.5564516129032258","outdir/prompt_ablation_glm51_test870/glm-5.1_std_cls_no_label_fewshotegFalse_cls0_predictions.csv"
"rag_ablation","RAG-only","Grouped no-label","868","0.5357142857142857","0.5363636363636364","0.542528735632184","0.5394285714285714","0.5069124423963134","236","204","229","199","0.4982535792332986","0.5788302988005032","0.4735023041474654","0.5391705069124424","outdir/prompt_ablation_glm51_test870/glm-5.1_std_cls_grouped_no_label_fewshotegFalse_cls0_predictions.csv"
"rag_ablation","RAG-only","Inline function label","868","0.5311059907834101","0.5297872340425532","0.5724137931034483","0.5502762430939228","0.5414746543778802","249","221","212","186","0.5107783923457813","0.5874957084185304","0.5080645161290323","0.5737327188940092","outdir/prompt_ablation_glm51_test870/glm-5.1_std_cls_inline_function_label_fewshotegFalse_cls0_predictions.csv"
"rag_ablation","RAG-only","Inline chunk label","868","0.5357142857142857","0.5349344978165939","0.5632183908045977","0.5487122060470324","0.5276497695852534","245","213","220","190","0.5082713385904875","0.5873393070748123","0.4930875576036866","0.5610599078341014","outdir/prompt_ablation_glm51_test870/glm-5.1_std_cls_inline_chunk_label_fewshotegFalse_cls0_predictions.csv"
"rag_ablation","RAG-only","Grouped chunk label","868","0.5253456221198156","0.5277108433734939","0.503448275862069","0.5152941176470589","0.478110599078341","219","196","237","216","0.47276547029702976","0.5545680722536465","0.44467165898617517","0.5103686635944701","outdir/prompt_ablation_glm51_test870/glm-5.1_std_cls_grouped_chunk_label_fewshotegFalse_cls0_predictions.csv"
"rag_ablation","Combined","Target focus","868","0.5426267281105991","0.5492227979274611","0.48735632183908045","0.5164433617539586","0.4447004608294931","212","174","259","223","0.4740009931559255","0.5585210179578826","0.41244239631336405","0.478110599078341","outdir/prompt_combined_glm51_test870/glm-5.1_std_cls_target_focus_fewshotegTrue_cls0_predictions.csv"
"rag_ablation","Combined","Grouped no-label","868","0.5241935483870968","0.5225409836065574","0.5862068965517241","0.552546045503792","0.5622119815668203","255","233","200","180","0.5142192182144","0.5892148701205792","0.5288018433179723","0.5956221198156681","outdir/prompt_combined_glm51_test870/glm-5.1_std_cls_grouped_no_label_fewshotegTrue_cls0_predictions.csv"
"rag_ablation","Combined","Grouped chunk label","868","0.5149769585253456","0.5138339920948617","0.5977011494252874","0.5526036131774708","0.5829493087557603","260","246","187","175","0.5125395325596732","0.5901304895568076","0.5506912442396313","0.6152073732718893","outdir/prompt_combined_glm51_test870/glm-5.1_std_cls_grouped_chunk_label_fewshotegTrue_cls0_predictions.csv"
"rag_ablation","Combined","Inline function label","868","0.5357142857142857","0.5346320346320347","0.5678160919540229","0.5507246376811594","0.532258064516129","247","215","218","188","0.5112612612612613","0.5893079400530249","0.49881912442396314","0.5645449308755762","outdir/prompt_combined_glm51_test870/glm-5.1_std_cls_inline_function_label_fewshotegTrue_cls0_predictions.csv"
"rag_ablation","Combined","Inline chunk label","868","0.5241935483870968","0.5247747747747747","0.535632183908046","0.5301478953356087","0.511520737327189","233","211","222","202","0.4897947561712613","0.5691635745207174","0.478110599078341","0.543778801843318","outdir/prompt_combined_glm51_test870/glm-5.1_std_cls_inline_chunk_label_fewshotegTrue_cls0_predictions.csv"
"rag_ablation","Baseline-compatible","Target focus","868","0.5172811059907834","0.5128205128205128","0.735632183908046","0.6043437204910292","0.7188940092165899","320","304","129","115","0.5691799769889344","0.6388507382155295","0.6877880184331797","0.75","outdir/prompt_baseline_compatible_glm51_test870/glm-5.1_std_cls_target_focus_baseline_compatible_fewshotegTrue_cls0_predictions.csv"
