name,strategy,known,accuracy,precision,recall,f1,yes_rate,tp,fp,tn,fn,methods,unknown
zero_shot+yes_only+positive_weighted_rag+patch_contrast,or,868,0.518433,0.511053,0.903448,0.652824,0.885945,393,376,57,42,zero_shot|yes_only|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+positive_weighted_rag+patch_contrast,or,868,0.513825,0.508344,0.910345,0.652389,0.897465,396,383,50,39,zero_shot|yes_only|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+old_rag+patch_contrast,or,868,0.513825,0.508366,0.908046,0.651815,0.895161,395,382,51,40,zero_shot|yes_only|old_rag|patch_contrast,0
zero_shot+yes_only+patch_contrast,or,868,0.518433,0.511111,0.898851,0.651667,0.881336,391,374,59,44,zero_shot|yes_only|patch_contrast,0
zero_shot+yes_only+old_rag+positive_weighted_rag,or,868,0.519585,0.511811,0.896552,0.651629,0.87788,390,372,61,45,zero_shot|yes_only|old_rag|positive_weighted_rag,0
zero_shot+yes_only+positive_weighted_rag,or,868,0.524194,0.514667,0.887356,0.651477,0.864055,386,364,69,49,zero_shot|yes_only|positive_weighted_rag,0
zero_shot+yes_only+old_rag,or,868,0.519585,0.511873,0.891954,0.650461,0.873272,388,370,63,47,zero_shot|yes_only|old_rag,0
zero_shot+yes_only+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,or,868,0.508065,0.505089,0.912644,0.650287,0.90553,397,389,44,38,zero_shot|yes_only|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only,or,868,0.524194,0.514785,0.88046,0.649703,0.857143,383,361,72,52,zero_shot|yes_only,0
zero_shot+yes_only,majority_tie_yes,868,0.524194,0.514785,0.88046,0.649703,0.857143,383,361,72,52,zero_shot|yes_only,0
zero_shot+yes_only+author_no_yes+positive_weighted_rag+patch_contrast,or,868,0.510369,0.506427,0.905747,0.649629,0.896313,394,384,49,41,zero_shot|yes_only|author_no_yes|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+old_rag+patch_contrast,or,868,0.506912,0.504459,0.910345,0.64918,0.904378,396,389,44,39,zero_shot|yes_only|author_no_yes|old_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+old_rag+positive_weighted_rag,or,868,0.510369,0.506477,0.898851,0.647887,0.889401,391,381,52,44,zero_shot|yes_only|author_no_yes|old_rag|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+patch_contrast,or,868,0.508065,0.505155,0.901149,0.647399,0.894009,392,384,49,43,zero_shot|yes_only|author_no_yes|patch_contrast,0
yes_only+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,or,868,0.509217,0.505837,0.896552,0.646766,0.888249,390,381,52,45,yes_only|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
zero_shot+yes_only+author_no_yes+positive_weighted_rag,or,868,0.512673,0.507874,0.889655,0.646617,0.87788,387,375,58,48,zero_shot|yes_only|author_no_yes|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes+old_rag,or,868,0.509217,0.505852,0.894253,0.646179,0.885945,389,380,53,46,zero_shot|yes_only|author_no_yes|old_rag,0
zero_shot+author_no_yes+old_rag+positive_weighted_rag+patch_contrast,or,868,0.504608,0.503209,0.901149,0.645799,0.897465,392,387,46,43,zero_shot|author_no_yes|old_rag|positive_weighted_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+patch_contrast,or,868,0.508065,0.505195,0.894253,0.645643,0.887097,389,381,52,46,yes_only|author_no_yes|old_rag|patch_contrast,0
yes_only+old_rag+positive_weighted_rag+patch_contrast,or,868,0.511521,0.507227,0.887356,0.645485,0.876728,386,375,58,49,yes_only|old_rag|positive_weighted_rag|patch_contrast,0
yes_only+positive_weighted_rag+patch_contrast,or,868,0.517281,0.510724,0.875862,0.645216,0.859447,381,365,68,54,yes_only|positive_weighted_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag+patch_contrast,or,868,0.504608,0.503218,0.898851,0.645215,0.895161,391,386,47,44,zero_shot|author_no_yes|old_rag|patch_contrast,0
yes_only+old_rag+patch_contrast,or,868,0.511521,0.507246,0.885057,0.644891,0.874424,385,374,59,50,yes_only|old_rag|patch_contrast,0
yes_only+author_no_yes+positive_weighted_rag+patch_contrast,or,868,0.510369,0.506579,0.885057,0.644351,0.875576,385,375,58,50,yes_only|author_no_yes|positive_weighted_rag|patch_contrast,0
yes_only+author_no_yes+old_rag+positive_weighted_rag,or,868,0.513825,0.508655,0.878161,0.644182,0.865207,382,369,64,53,yes_only|author_no_yes|old_rag|positive_weighted_rag,0
zero_shot+yes_only+author_no_yes,or,868,0.510369,0.506596,0.882759,0.643755,0.873272,384,374,59,51,zero_shot|yes_only|author_no_yes,0
yes_only+old_rag,or,868,0.523041,0.514443,0.85977,0.643718,0.837558,374,353,80,61,yes_only|old_rag,0
yes_only+old_rag,majority_tie_yes,868,0.523041,0.514443,0.85977,0.643718,0.837558,374,353,80,61,yes_only|old_rag,0
yes_only+patch_contrast,or,868,0.517281,0.510811,0.868966,0.643404,0.852535,378,362,71,57,yes_only|patch_contrast,0
yes_only+patch_contrast,majority_tie_yes,868,0.517281,0.510811,0.868966,0.643404,0.852535,378,362,71,57,yes_only|patch_contrast,0
yes_only+old_rag+positive_weighted_rag,or,868,0.519585,0.512262,0.864368,0.643285,0.845622,376,358,75,59,yes_only|old_rag|positive_weighted_rag,0
yes_only+author_no_yes+old_rag,or,868,0.513825,0.508701,0.873563,0.642978,0.860599,380,367,66,55,yes_only|author_no_yes|old_rag,0
zero_shot+author_no_yes+positive_weighted_rag+patch_contrast,or,868,0.504608,0.503251,0.889655,0.642857,0.885945,387,382,51,48,zero_shot|author_no_yes|positive_weighted_rag|patch_contrast,0
yes_only+positive_weighted_rag,or,868,0.528802,0.51831,0.845977,0.642795,0.817972,368,342,91,67,yes_only|positive_weighted_rag,0
yes_only+positive_weighted_rag,majority_tie_yes,868,0.528802,0.51831,0.845977,0.642795,0.817972,368,342,91,67,yes_only|positive_weighted_rag,0
yes_only+author_no_yes+positive_weighted_rag,or,868,0.517281,0.51087,0.864368,0.642186,0.847926,376,360,73,59,yes_only|author_no_yes|positive_weighted_rag,0
