author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred
0,0,1,1,4,2808,CWE-617,9,195019,3,75,4,0,0,0,1,1,0,0,tensorflow,0.005847573280334473,0.9466097354888916,1,580,0,0,1,1
0,0,1,1,3,22734,CWE-125,23,195264,0,734,0,11,0,0,1,1,0,0,pcre2,0.007847905158996582,0.9262903928756714,1,5048,0,0,0,0
0,0,1,1,8,3885,CWE-125,0,195295,0,178,0,0,1,1,1,1,0,0,mruby,0.0,0.9405497312545776,1,1004,0,0,0,0
0,0,1,1,1,2921,CWE-476,1,195410,0,58,2,0,1,1,1,1,1,1,tensorflow,0.0026079416275024414,0.9493675827980042,1,564,0,0,1,1
0,0,1,1,8,10045,CWE-354,3,196629,2,227,4,0,0,0,1,1,0,0,tensorflow,0.005798518657684326,0.9379404187202454,1,1924,0,0,0,0
0,0,1,1,0,2261,CWE-125,1,196698,0,48,0,1,0,0,1,1,0,0,tensorflow,0.004975378513336182,0.9257679581642151,1,404,0,0,0,0
0,0,1,1,0,338,CWE-125,1,196834,0,8,0,0,0,0,1,1,0,0,tensorflow,-0.004029273986816406,0.9184739589691162,1,102,0,0,1,1
1,1,1,1,0,1059,CWE-399,4,196894,0,35,0,0,1,1,1,1,0,0,cryptopp,0.0,0.92615807056427,1,298,0,0,1,1
0,0,1,1,0,1647,CWE-369,2,197395,0,45,0,1,0,0,1,1,0,0,tensorflow,-0.002551853656768799,0.9532254934310913,1,300,0,0,0,0
1,1,1,1,4,1647,CWE-369,0,198259,1,33,0,0,1,1,1,1,1,1,tensorflow,0.02518153190612793,0.9747096300125122,1,271,0,0,1,1
1,1,1,1,0,1117,CWE-703,15,200895,1,43,0,6,0,0,1,1,0,0,vim,-0.0023993849754333496,0.9470387697219849,1,275,0,0,1,1
0,0,1,1,0,2210,CWE-59,17,201913,4,95,0,0,0,0,1,1,0,0,libarchive,0.003229081630706787,0.9563739895820618,1,483,0,0,0,0
1,1,1,1,1,1213,CWE-369,12,202677,0,49,1,0,1,1,1,1,1,1,qemu,0.030558288097381592,0.993962824344635,1,285,0,0,1,1
0,0,1,1,0,576,CWE-476,9,202708,0,26,0,4,0,0,1,1,0,0,vim,0.0062670111656188965,0.933066725730896,1,139,0,0,0,0
1,1,1,1,3,1824,CWE-125,4,204351,1,47,0,0,1,1,1,1,0,0,squirrel,0.0013510584831237793,0.9342229962348938,1,353,0,0,1,1
1,1,1,1,5,415,CWE-120,3,207069,0,23,1,0,1,1,1,1,1,1,linux,0.000694572925567627,0.952534556388855,1,99,0,0,1,1
1,1,1,1,0,1690,CWE-22,13,211103,0,50,0,6,0,0,1,1,0,0,file-roller,0.0022640228271484375,0.9607888460159302,1,279,0,0,1,1
1,1,1,1,75,25995,CWE-787,39,211506,8,677,0,0,1,1,1,1,1,1,zlib,0.013822674751281738,0.9321238994598389,1,5102,0,0,1,1
0,0,1,1,1,532,CWE-787,8,212436,0,22,0,0,1,1,1,1,1,1,linux,0.0066991448402404785,0.9418067932128906,1,113,0,0,1,1
0,0,1,1,4,503,CWE-269,2,215073,0,17,0,0,0,0,1,1,1,1,linux,0.0010017156600952148,0.9385315179824829,1,105,0,0,0,0
0,1,0,1,3,6781,CWE-401,4,218852,3,180,1,2,1,0,1,0,1,0,tensorflow,0.0029757022857666016,0.9180470705032349,0,1434,0,1,1,0
0,1,0,1,4,2328,CWE-125,7,220201,0,68,1,3,1,0,1,0,1,0,tensorflow,0.002110421657562256,0.9549214839935303,0,521,0,1,0,1
0,1,0,1,0,2769,CWE-476,8,220463,0,64,2,0,1,0,1,0,1,0,tensorflow,0.0033898353576660156,0.9284628629684448,0,526,0,1,0,1
0,1,0,1,0,2700,CWE-369,2,220841,0,66,0,0,0,1,1,0,1,0,tensorflow,0.00287550687789917,0.947236180305481,0,631,0,1,0,1
0,1,0,1,0,1679,CWE-617,10,221428,0,40,0,4,0,1,1,0,1,0,tensorflow,0.006881415843963623,0.9359503984451294,0,389,0,1,0,1
0,1,0,1,0,10472,CWE-20,34,224277,1,276,0,5,1,0,1,0,1,0,flatpak,0.006871700286865234,0.9703056216239929,0,2168,0,1,0,1
1,0,0,1,7,1518,CWE-134,1,225383,0,49,1,0,0,1,1,0,0,1,v4l2loopback,0.002740621566772461,0.9611207246780396,0,321,0,1,1,0
1,0,0,1,0,279,CWE-476,3,226029,0,13,0,1,0,1,1,0,0,1,gpac,0.002764403820037842,0.9431662559509277,0,90,0,1,0,1
