author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred
0,0,1,1,3,22734,CWE-125,23,195264,0,734,0,11,0,0,1,1,0,0,pcre2,0.007847905158996582,0.9262903928756714,1,5048,0,0,0,0
0,0,1,1,8,10045,CWE-354,3,196629,2,227,4,0,0,0,1,1,0,0,tensorflow,0.005798518657684326,0.9379404187202454,1,1924,0,0,0,0
0,0,1,1,0,2261,CWE-125,1,196698,0,48,0,1,0,0,1,1,0,0,tensorflow,0.004975378513336182,0.9257679581642151,1,404,0,0,0,0
0,0,1,1,0,1647,CWE-369,2,197395,0,45,0,1,0,0,1,1,0,0,tensorflow,-0.002551853656768799,0.9532254934310913,1,300,0,0,0,0
0,0,1,1,0,2210,CWE-59,17,201913,4,95,0,0,0,0,1,1,0,0,libarchive,0.003229081630706787,0.9563739895820618,1,483,0,0,0,0
0,0,1,1,0,576,CWE-476,9,202708,0,26,0,4,0,0,1,1,0,0,vim,0.0062670111656188965,0.933066725730896,1,139,0,0,0,0
0,1,0,1,3,2940,CWE-200,5,231048,0,58,0,1,0,1,1,0,0,1,FreeRTOS-Kernel,-0.0006622076034545898,0.9064436554908752,0,450,0,1,0,1
0,1,0,1,12,18162,CWE-416,103,238803,3,684,2,43,0,1,1,0,0,1,vim,0.005884289741516113,0.9577686786651611,0,4309,0,1,0,1
0,1,0,1,1,1410,CWE-416,5,261769,1,55,7,2,0,1,1,0,0,1,njs,0.008463680744171143,0.9184064865112305,0,306,0,1,0,1
0,1,0,1,0,3068,CWE-415,6,275987,2,82,0,0,0,1,1,0,0,1,micro-ecc,0.0,0.9337565898895264,0,665,0,1,0,1
0,1,0,1,13,2212,CWE-787,11,276921,0,106,1,3,0,1,1,0,0,1,u-boot,0.0013740062713623047,0.9448509216308594,0,556,0,1,0,1
0,1,0,1,8,1845,CWE-703,1,276993,0,70,0,0,0,1,1,0,0,1,mruby,0.005135953426361084,0.9745779633522034,0,447,0,1,0,1
0,1,0,1,4,9188,CWE-787,4,331760,0,235,1,1,0,1,1,0,0,1,qtbase,0.002602994441986084,0.9106588959693909,0,1922,0,1,0,1
0,1,0,1,21,2775,CWE-703,11,346415,0,117,0,2,0,1,1,0,0,1,vim,0.003966808319091797,0.9495038986206055,0,767,0,1,0,1
0,1,0,1,3,9168,CWE-787,33,379334,3,364,0,11,0,1,1,0,0,1,vim,0.0052356719970703125,0.9511356353759766,0,2115,0,1,0,1
0,1,0,1,16,1080,CWE-284,4,400743,0,48,0,0,0,1,1,0,0,1,linux,0.014208376407623291,0.9764875173568726,0,284,0,1,0,1
0,1,0,1,1,1036,CWE-362,4,430380,0,38,2,0,0,1,1,0,0,1,linux,0.0030843615531921387,0.9207637310028076,0,241,0,1,0,1
0,1,0,1,1,1579,CWE-415,12,437003,0,64,1,2,0,1,1,0,0,1,linux,0.004319906234741211,0.959571361541748,0,390,0,1,0,1
0,1,0,1,0,535,CWE-416,2,446096,0,24,0,1,0,1,1,0,0,1,linux,0.001225590705871582,0.9620147943496704,0,116,0,1,0,1
0,1,0,1,16,6730,CWE-787,10,471902,3,248,1,3,0,1,1,0,0,1,vim,0.0052220821380615234,0.9512767195701599,0,1625,0,1,0,1
0,1,0,1,2,2382,CWE-125,7,475987,2,81,2,0,0,1,1,0,0,1,chafa,0.004796385765075684,0.9562021493911743,0,507,0,1,0,1
0,1,0,1,18,11424,CWE-476,31,476103,1,425,3,4,0,1,1,0,0,1,linux,0.006694197654724121,0.9558824300765991,0,2591,0,1,0,1
0,1,0,1,31,82226,CWE-120,85,486837,13,1990,4,37,0,1,1,0,0,1,perl5,0.008984386920928955,0.9515604972839355,0,13594,0,1,0,1
0,1,0,1,10,10827,CWE-125,157,507778,2,318,1,37,0,1,1,0,0,1,openssl,0.0076334476470947266,0.9596515893936157,0,1947,0,1,0,1
0,1,0,1,2,5121,CWE-617,1,514292,0,151,1,0,0,1,1,0,0,1,server,0.006985127925872803,0.9360689520835876,0,982,0,1,0,1
0,1,0,1,5,6485,CWE-120,36,522329,3,250,3,1,0,1,1,0,0,1,libMeshb,0.003798842430114746,0.9510483741760254,0,1842,0,1,0,1
