author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred
1,1,1,1,4,2052,CWE-125,6,195029,0,62,1,3,1,1,0,0,0,0,tensorflow,0.002110421657562256,0.9451507329940796,1,484,1,1,1,1
1,1,1,1,0,2726,CWE-476,8,195040,0,62,2,0,0,0,0,0,0,0,tensorflow,0.003389716148376465,0.9284627437591553,1,516,1,1,1,1
0,0,1,1,0,2670,CWE-369,1,195056,0,65,0,0,1,1,0,0,0,0,tensorflow,0.0046010613441467285,0.942516028881073,1,623,1,1,1,1
1,1,1,1,0,1076,CWE-862,1,195082,0,40,0,0,0,0,0,0,0,0,linux,0.005227863788604736,0.9523025155067444,1,264,1,1,1,1
1,1,1,1,0,1232,CWE-617,8,195083,0,31,0,4,1,1,0,0,1,1,tensorflow,0.004552125930786133,0.9432876110076904,1,291,1,1,1,1
1,1,1,1,1,3786,CWE-295,38,195095,1,118,1,12,1,1,0,0,1,1,e2guardian,0.01042938232421875,0.9269136786460876,1,769,1,1,1,1
0,0,1,1,1,4637,CWE-476,14,195274,2,118,0,0,0,0,0,0,0,0,tensorflow,0.004723846912384033,0.9386633634567261,1,924,1,1,1,1
1,1,1,1,0,10440,CWE-20,34,195308,1,275,0,5,1,1,0,0,0,0,flatpak,0.001347362995147705,0.9748321771621704,1,2159,1,1,1,1
1,1,1,1,7,1512,CWE-134,1,195398,0,49,1,0,0,0,0,0,1,1,v4l2loopback,0.002740621566772461,0.9611207246780396,1,318,1,1,1,1
1,1,1,1,5,312,CWE-190,1,195402,0,10,0,0,1,1,0,0,1,1,tensorflow,-0.0033718347549438477,0.9300939440727234,1,72,1,1,1,1
1,1,1,1,0,269,CWE-476,3,195409,0,11,0,1,1,1,0,0,1,1,gpac,0.0005376338958740234,0.9447957277297974,1,88,1,1,1,1
1,1,1,1,16,4339,CWE-703,21,195665,15,155,18,2,1,1,0,0,0,0,njs,0.010452032089233398,0.9708391427993774,1,900,1,1,1,1
1,1,1,1,40,51274,CWE-703,122,195691,0,1844,0,19,1,1,0,0,1,1,mruby,-0.004718959331512451,0.9957659244537354,1,11267,1,1,1,1
1,1,1,1,1,3323,CWE-703,0,195720,1,80,0,0,1,1,0,0,0,0,mvfst,0.004237353801727295,0.9019692540168762,1,581,1,1,1,1
1,1,1,1,1,1444,CWE-369,0,195800,0,47,0,0,0,0,0,0,0,0,deark,0.0006301999092102051,0.9547429084777832,1,446,1,1,1,1
1,1,1,1,12,18096,CWE-416,103,196328,3,684,2,43,1,1,0,0,1,1,vim,0.005884289741516113,0.9577686786651611,1,4303,1,1,1,1
0,0,1,1,1,1007,CWE-284,10,196611,0,50,0,2,0,0,0,0,0,0,booth,0.001924753189086914,0.9564363956451416,1,263,1,1,0,0
0,0,1,1,1,1242,CWE-20,5,196705,0,31,0,0,0,0,0,0,0,0,tensorflow,-0.00422823429107666,0.9613152742385864,1,286,1,1,1,1
1,1,1,1,9,3832,CWE-703,5,196790,0,80,0,0,0,0,0,0,0,0,tensorflow,0.0014637112617492676,0.9426587224006653,1,553,1,1,0,0
1,1,1,1,26,12844,CWE-703,3,196841,0,275,0,0,1,1,0,0,1,1,furnace,0.00399017333984375,0.9327088594436646,1,2972,1,1,1,1
0,0,1,1,0,4283,CWE-369,2,197095,1,92,0,2,0,0,0,0,0,0,tensorflow,0.0016223788261413574,0.9095786809921265,1,755,1,1,1,1
0,0,1,1,21,2523,CWE-369,5,197247,0,63,1,0,0,0,0,0,0,0,tensorflow,0.006406426429748535,0.9360512495040894,1,501,1,1,0,0
0,0,1,1,2,2300,CWE-703,1,197326,0,56,0,0,0,0,0,0,0,0,tensorflow,0.0002384781837463379,0.9412029981613159,1,440,1,1,1,1
1,1,1,1,7,4992,CWE-703,5,197359,0,125,0,0,1,1,0,0,1,1,tensorflow,0.012466609477996826,0.9268859028816223,1,956,1,1,1,1
1,1,1,1,2,7554,CWE-787,29,197565,2,241,0,8,1,1,0,0,0,0,wolfMQTT,0.004338979721069336,0.9409051537513733,1,1105,1,1,1,1
