pair_id,vuln_row_id,fixed_row_id,vuln_idx,fixed_idx,project,cwe,vuln_pred,fixed_pred,vuln_prob_yes,fixed_prob_yes,pair_outcome
0,0,1,194963,217569,ImageMagick6,CWE-704,1,1,0.6043843626976013,0.6043843626976013,P-V
1,2,3,194989,218785,ImageMagick6,CWE-190,1,1,0.584345281124115,0.584345281124115,P-V
2,4,5,194994,218852,tensorflow,CWE-401,1,1,0.5908382534980774,0.5908382534980774,P-V
3,6,7,194996,218933,tensorflow,CWE-476,1,1,0.5729841589927673,0.5790061950683594,P-V
4,8,9,194998,219032,tensorflow,CWE-617,1,1,0.58937668800354,0.58937668800354,P-V
5,10,11,195017,219912,gpac,CWE-476,1,1,0.5724819302558899,0.5719478130340576,P-V
6,12,13,195019,219931,tensorflow,CWE-617,1,1,0.5715872645378113,0.5715872645378113,P-V
7,14,15,195022,219947,glewlwyd,CWE-287,1,1,0.5856196284294128,0.5856196284294128,P-V
8,16,17,195023,220021,tensorflow,CWE-190,1,1,0.5683035254478455,0.5683035254478455,P-V
9,18,19,195026,220100,linux,CWE-909,1,1,0.5987374782562256,0.5981948375701904,P-V
