idx,paired_idx,target,project,cwe,group,primary_category,categories,repair_signal,has_added_guard,has_added_error_handling,has_api_replacement,has_state_or_lifetime_repair,changed_line_count,changed_region_count,char_len,line_count,patch_margin,patch_closer_side,added_lines,changed_line_ratio,changed_lines,diff_excerpt,has_bounds_or_shape_repair,patch_pair_cwe,patch_pair_project,pred_pattern,removed_lines
187732,197796,0,qemu,CWE-264,target0_all_wrong_hard_negative,bounds_size,bounds_size|error_handling|parser_input,added_guard|added_error_handling|bounds_or_shape_repair,1,1,0,0,7,3,4695,147,-0.9304540157318115,fixed,"if (len == 1) {
}
if (dlen > (1 << 20)) {
error_report(""vnc: client_cut_text msg payload has %u bytes""
"" which exceeds our limit of 1MB."", dlen);
vnc_client_error(vs);
break;
}
if (dlen > 0) {
}",0.047619,"L61: if (len == 1) {
L66: if (dlen > (1 << 20)) {
L67: error_report(""vnc: client_cut_text msg payload has %u bytes""
L68: "" which exceeds our limit of 1MB."", dlen);
L69: vnc_client_error(vs);
L70: break;
L72: if (dlen > 0) {","--- vuln 197796
+++ fixed 187732
@@ -59,11 +59,18 @@
         break;
     case VNC_MSG_CLIENT_CUT_TEXT:
-        if (len == 1)
+        if (len == 1) {
             return 8;
-
+        }
         if (len == 8) {
             uint32_t dlen = read_u32(data, 4);
-            if (dlen > 0)
+            if (dlen > (1 << 20)) {
+                error_report(""vnc: client_cut_text msg payload has %u bytes""
+                             "" which exceeds our limit of 1MB."", dlen);
+                vnc_client_error(vs);
+                break;
+            }
+            if (dlen > 0) {
                 return 8 + dlen;
+            }
         }
 ",1,CWE-20,radvd,1|1|1|1|1|1,"if (len == 1)

if (dlen > 0)"
217569,194963,0,ImageMagick6,CWE-704,target0_all_wrong_hard_negative,type_cast_alignment,type_cast_alignment,weak_or_unknown,0,0,0,0,4,2,28274,871,-0.9158406257629395,fixed,"EXIFMultipleValues(4,""%.20g"",(double)
ReadPropertySignedLong(endian,p1));
EXIFMultipleValues(8,""%.20g"",(double)
ReadPropertySignedLong(endian,p1));",0.004592,"L720: EXIFMultipleValues(4,""%.20g"",(double)
L721: ReadPropertySignedLong(endian,p1));
L726: EXIFMultipleValues(8,""%.20g"",(double)
L727: ReadPropertySignedLong(endian,p1));","--- vuln 194963
+++ fixed 217569
@@ -718,10 +718,12 @@
             case EXIF_FMT_SINGLE:
             {
-              EXIFMultipleValues(4,""%f"",(double) *(float *) p1);
+              EXIFMultipleValues(4,""%.20g"",(double)
+                ReadPropertySignedLong(endian,p1));
               break;
             }
             case EXIF_FMT_DOUBLE:
             {
-              EXIFMultipleValues(8,""%f"",*(double *) p1);
+              EXIFMultipleValues(8,""%.20g"",(double)
+                ReadPropertySignedLong(endian,p1));
               break;
             }",0,CWE-189,linux,1|1|1|1|1|1,"EXIFMultipleValues(4,""%f"",(double) *(float *) p1);
EXIFMultipleValues(8,""%f"",*(double *) p1);"
218785,194989,0,ImageMagick6,CWE-190,target0_all_wrong_hard_negative,null_check,null_check|type_cast_alignment|parser_input,weak_or_unknown,0,0,0,0,3,1,1718,76,0.0022769570350646973,vulnerable,"SetPSDPixel(image,channels,type,packet_size,
(((unsigned char) ((ssize_t) pixel)) & (0x01 << (7-bit))) != 0 ? 0 :
QuantumRange,q++,indexes,x++);",0.039474,"L66: SetPSDPixel(image,channels,type,packet_size,
L67: (((unsigned char) ((ssize_t) pixel)) & (0x01 << (7-bit))) != 0 ? 0 :
L68: QuantumRange,q++,indexes,x++);","--- vuln 194989
+++ fixed 218785
@@ -64,6 +64,7 @@
         for (bit=0; bit < number_bits; bit++)
         {
-          SetPSDPixel(image,channels,type,packet_size,(((unsigned char) pixel)
-            & (0x01 << (7-bit))) != 0 ? 0 : QuantumRange,q++,indexes,x++);
+          SetPSDPixel(image,channels,type,packet_size,
+            (((unsigned char) ((ssize_t) pixel)) & (0x01 << (7-bit))) != 0 ? 0 :
+            QuantumRange,q++,indexes,x++);
         }
         if (x != (ssize_t) image->columns)",0,CWE-787,ImageMagick6,1|1|1|1|1|1,"SetPSDPixel(image,channels,type,packet_size,(((unsigned char) pixel)
& (0x01 << (7-bit))) != 0 ? 0 : QuantumRange,q++,indexes,x++);"
219912,195017,0,gpac,CWE-476,target0_all_wrong_hard_negative,null_check,null_check,added_guard,1,0,0,0,1,1,466,14,-0.9080238938331604,fixed,if (!hmhd || (hmhd->type != GF_ISOM_BOX_TYPE_HMHD)),0.071429,L4: if (!hmhd || (hmhd->type != GF_ISOM_BOX_TYPE_HMHD)),"--- vuln 195017
+++ fixed 219912
@@ -2,5 +2,5 @@
 {
 	GF_HintMediaHeaderBox *hmhd = (GF_HintMediaHeaderBox *)trak->Media->information->InfoHeader;
-	if (hmhd->type != GF_ISOM_BOX_TYPE_HMHD)
+	if (!hmhd || (hmhd->type != GF_ISOM_BOX_TYPE_HMHD))
 		return 0;
 		",0,CWE-476,openldap,1|1|1|1|1|1,if (hmhd->type != GF_ISOM_BOX_TYPE_HMHD)
219947,195022,0,glewlwyd,CWE-287,target0_all_wrong_hard_negative,auth_config,auth_config|null_check|error_handling,weak_or_unknown,0,0,0,0,0,0,9884,137,-0.9303353428840637,fixed,,0.0,,"--- vuln 195022
+++ fixed 219947
@@ -35,8 +35,4 @@
               y_log_message(Y_LOG_LEVEL_WARNING, ""Security - Authorization invalid for username %s at IP Address %s"", json_string_value(json_object_get(j_param, ""username"")), ip_source);
             }
-            if ((session_uid = get_session_id(config, request)) != NULL && user_session_update(config, session_uid, u_map_get_case(request->map_header, ""user-agent""), issued_for, json_string_value(json_object_get(j_param, ""username"")), NULL, 1) != G_OK) {
-              y_log_message(Y_LOG_LEVEL_ERROR, ""callback_glewlwyd_user_auth - Error user_session_update (2)"");
-            }
-            o_free(session_uid);
             response->status = 401;
             glewlwyd_metrics_increment_counter_va(config, GLWD_METRICS_AUTH_USER_INVALID, 1, NULL);",0,CWE-415,linux,1|1|1|1|1|1,"if ((session_uid = get_session_id(config, request)) != NULL && user_session_update(config, session_uid, u_map_get_case(request->map_header, ""user-agent""), issued_for, json_string_value(json_object_get(j_param, ""username"")), NULL, 1) != G_OK) {
y_log_message(Y_LOG_LEVEL_ERROR, ""callback_glewlwyd_user_auth - Error user_session_update (2)"");
}
o_free(session_uid);"
220168,195028,0,tensorflow,CWE-401,target0_all_wrong_hard_negative,lifetime_ownership,lifetime_ownership|parser_input,added_guard|state_or_lifetime_repair,1,0,0,1,4,1,5125,104,-0.9146006107330322,fixed,"
// If we reach this point, then there is data in `decode` which must be
// freed by the time we end execution in this function. We cannot call
// `png::CommonFreeDecode()` before an `OP_REQUIRES` because if
// `OP_REQUIRES` constraint is satisfied then the data would be freed
// prematurely. Instead, let's use a `Cleanup` object.
auto cleanup = gtl::MakeCleanup([&decode]() {
std::cerr << ""Cleanup called...\n"";
png::CommonFreeDecode(&decode);
});",0.038462,"L13: auto cleanup = gtl::MakeCleanup([&decode]() {
L14: std::cerr << ""Cleanup called...\n"";
L15: png::CommonFreeDecode(&decode);
L16: });","--- vuln 195028
+++ fixed 220168
@@ -5,4 +5,14 @@
         context, png::CommonInitDecode(input, channels_, channel_bits, &decode),
         errors::InvalidArgument(""Invalid PNG. Failed to initialize decoder.""));
+
+    // If we reach this point, then there is data in `decode` which must be
+    // freed by the time we end execution in this function. We cannot call
+    // `png::CommonFreeDecode()` before an `OP_REQUIRES` because if
+    // `OP_REQUIRES` constraint is satisfied then the data would be freed
+    // prematurely. Instead, let's use a `Cleanup` object.
+    auto cleanup = gtl::MakeCleanup([&decode]() {
+      std::cerr << ""Cleanup called...\n"";
+      png::CommonFreeDecode(&decode);
+    });
 
     // Verify that width and height are not too large:",0,CWE-189,linux,1|1|1|1|1|1,
220442,195038,0,mruby,CWE-476,target0_all_wrong_hard_negative,bounds_size,bounds_size,bounds_or_shape_repair,0,0,0,0,3,1,878,42,0.9148492813110352,vulnerable,"}

struct RArray *a = mrb_ary_ptr(self);
mrb_int len = ARY_LEN(a);
mrb_value val;
",0.071429,"L9: struct RArray *a = mrb_ary_ptr(self);
L10: mrb_int len = ARY_LEN(a);
L11: mrb_value val;","--- vuln 195038
+++ fixed 220442
@@ -1,12 +1,14 @@
 mrb_ary_shift_m(mrb_state *mrb, mrb_value self)
 {
-  struct RArray *a = mrb_ary_ptr(self);
-  mrb_int len = ARY_LEN(a);
   mrb_int n;
-  mrb_value val;
 
   if (mrb_get_args(mrb, ""|i"", &n) == 0) {
     return mrb_ary_shift(mrb, self);
-  };
+  }
+
+  struct RArray *a = mrb_ary_ptr(self);
+  mrb_int len = ARY_LEN(a);
+  mrb_value val;
+
   ary_modify_check(mrb, a);
   if (len == 0 || n == 0) return mrb_ary_new(mrb);",1,CWE-362,linux,1|1|1|1|1|1,"struct RArray *a = mrb_ary_ptr(self);
mrb_int len = ARY_LEN(a);
mrb_value val;
};"
220449,195039,0,tensorflow,CWE-354,target0_all_wrong_hard_negative,shape_invariant,shape_invariant,bounds_or_shape_repair,0,0,0,0,12,3,4232,92,0.9146732091903687,vulnerable,"Tensor input_shuffled;
OP_REQUIRES_OK(
ctx, ctx->allocate_temp(input.dtype(), TensorShape(post_shuffle(input)),
&input_shuffled));
Tensor filter_shuffled;
OP_REQUIRES_OK(ctx, ctx->allocate_temp(filter.dtype(),
TensorShape(post_shuffle(filter)),
&filter_shuffled));
Tensor output_shuffled;
OP_REQUIRES_OK(ctx, ctx->allocate_temp(output->dtype(),
TensorShape(post_shuffle(*output)),
&output_shuffled));",0.130435,"L35: Tensor input_shuffled;
L36: OP_REQUIRES_OK(
L37: ctx, ctx->allocate_temp(input.dtype(), TensorShape(post_shuffle(input)),
L38: &input_shuffled));
L43: Tensor filter_shuffled;
L44: OP_REQUIRES_OK(ctx, ctx->allocate_temp(filter.dtype(),
L45: TensorShape(post_shuffle(filter)),
L46: &filter_shuffled));
L54: Tensor output_shuffled;
L55: OP_REQUIRES_OK(ctx, ctx->allocate_temp(output->dtype(),
L56: TensorShape(post_shuffle(*output)),
L57: &output_shuffled));","--- vuln 195039
+++ fixed 220449
@@ -33,10 +33,16 @@
 
     // Shuffle input into temporary tensor.
-    Tensor input_shuffled(input.dtype(), TensorShape(post_shuffle(input)));
+    Tensor input_shuffled;
+    OP_REQUIRES_OK(
+        ctx, ctx->allocate_temp(input.dtype(), TensorShape(post_shuffle(input)),
+                                &input_shuffled));
     input_shuffled.tensor<T, 5>().device(device, on_shuffled) =
         input.shaped<T, 5>(pre_shuffle(input)).shuffle(shuffle);
 
     // Shuffle filter into temporary tensor.
-    Tensor filter_shuffled(filter.dtype(), TensorShape(post_shuffle(filter)));
+    Tensor filter_shuffled;
+    OP_REQUIRES_OK(ctx, ctx->allocate_temp(filter.dtype(),
+                                           TensorShape(post_shuffle(filter)),
+                                           &filter_shuffled));
     filter_shuffled.tensor<T, 5>().device(device, on_shuffled) =
         filter.shaped<T, 5>(pre_shuffle(filter)).shuffle(shuffle);
@@ -46,5 +52,8 @@
 
     // Write group convolution results into temporary output tensor.
-    Tensor output_shuffled(output->dtype(), TensorShape(post_shuffle(*output)));
+    Tensor output_shuffled;
+    OP_REQUIRES_OK(ctx, ctx->allocate_temp(output->dtype(),
+                                           TensorShape(post_shuffle(*output)),
+                                           &output_shuffled));
 
     for (int64_t i = 0; i < num_groups; ++i) {",1,CWE-703,tensorflow,1|1|1|1|1|1,"Tensor input_shuffled(input.dtype(), TensorShape(post_shuffle(input)));
Tensor filter_shuffled(filter.dtype(), TensorShape(post_shuffle(filter)));
Tensor output_shuffled(output->dtype(), TensorShape(post_shuffle(*output)));"
220804,195055,0,tensorflow,CWE-787,target0_all_wrong_hard_negative,shape_invariant,shape_invariant|bounds_size|null_check|type_cast_alignment|error_handling,added_guard|added_error_handling|bounds_or_shape_repair,1,1,0,0,23,11,2361,61,0.9154970645904541,vulnerable,"const Tensor& splits = context->input(0);
const Tensor& weights = context->input(2);
bool is_1d = false;
const auto splits_values = splits.flat<int64_t>();
const auto values_values = values.flat<T>();
const auto weight_values = weights.flat<W>();
int num_batches = splits.NumElements() - 1;
OP_REQUIRES(
context, num_batches > 0,
errors::InvalidArgument(
""Must provide at least 2 elements for the splits argument""));
OP_REQUIRES(context, splits_values(0) == 0,
errors::InvalidArgument(""Splits must start with 0, not with "",
splits_values(0)));
OP_REQUIRES(context, splits_values(num_batches) == num_values,
""Splits must end with the number of values, got "",
splits_values(num_batches), "" instead of "", num_values));
int batch_idx = 0;
while (idx >= splits_values(batch_idx)) {
batch_idx++;
per_batch_counts[batch_idx - 1][value] = 1;
per_batch_counts[batch_idx - 1][value] += weight_values(idx);
per_batch_counts[batch_idx - 1][value]++;",0.377049,"L2: const Tensor& splits = context->input(0);
L4: const Tensor& weights = context->input(2);
L6: bool is_1d = false;
L17: const auto splits_values = splits.flat<int64_t>();
L18: const auto values_values = values.flat<T>();
L19: const auto weight_values = weights.flat<W>();
L20: int num_batches = splits.NumElements() - 1;
L23: OP_REQUIRES(
L24: context, num_batches > 0,
L25: errors::InvalidArgument(
L26: ""Must provide at least 2 elements for the splits argument""));
L27: OP_REQUIRES(context, splits_values(0) == 0,
L28: errors::InvalidArgument(""Splits must start with 0, not with "",
L29: splits_values(0)));
L30: OP_REQUIRES(context, splits_values(num_batches) == num_values,
L32: ""Splits must end with the number of values, got "",
L33: splits_values(num_batches), "" instead of "", num_values));
L37: int batch_idx = 0;
L40: while (idx >= splits_values(batch_idx)) {
L41: batch_idx++;","--- vuln 195055
+++ fixed 220804
@@ -1,13 +1,8 @@
   void Compute(OpKernelContext* context) override {
-    const Tensor& indices = context->input(0);
+    const Tensor& splits = context->input(0);
     const Tensor& values = context->input(1);
-    const Tensor& shape = context->input(2);
-    const Tensor& weights = context->input(3);
+    const Tensor& weights = context->input(2);
     bool use_weights = weights.NumElements() > 0;
-
-    OP_REQUIRES(context, TensorShapeUtils::IsMatrix(indices.shape()),
-                errors::InvalidArgument(
-                    ""Input indices must be a 2-dimensional tensor. Got: "",
-                    indices.shape().DebugString()));
+    bool is_1d = false;
 
     if (use_weights) {
@@ -20,62 +15,38 @@
     }
 
-    OP_REQUIRES(context, shape.NumElements() != 0,
-                errors::InvalidArgument(
-                    ""The shape argument requires at least one element.""));
-
-    bool is_1d = shape.NumElements() == 1;
-    auto shape_vector = shape.flat<int64_t>();
-    int num_batches = is_1d ? 1 : shape_vector(0);
+    const auto splits_values = splits.flat<int64_t>();
+    const auto values_values = values.flat<T>();
+    const auto weight_values = weights.flat<W>();
+    int num_batches = splits.NumElements() - 1;
     int num_values = values.NumElements();
 
-    for (int b = 0; b < shape_vector.size(); b++) {
-      OP_REQUIRES(context, shape_vector(b) >= 0,
-                  errors::InvalidArgument(
-                      ""Elements in dense_shape must be >= 0. Instead got:"",
-                      shape.DebugString()));
-    }
-
-    OP_REQUIRES(context, num_values == indices.shape().dim_size(0),
+    OP_REQUIRES(
+        context, num_batches > 0,
+        errors::InvalidArgument(
+            ""Must provide at least 2 elements for the splits argument""));
+    OP_REQUIRES(context, splits_values(0) == 0,
+                errors::InvalidArgument(""Splits must start with 0, not with "",
+                                        splits_values(0)));
+    OP_REQUIRES(context, splits_values(num_batches) == num_values,
                 errors::InvalidArgument(
-                    ""Number of values must match first dimension of indices."",
-                    ""Got "", num_values,
-                    "" values, indices shape: "", indices.shape().DebugString()));
-
-    const auto indices_values = indices.matrix<int64_t>();
-    const auto values_values = values.flat<T>();
-    const auto weight_values = weights.flat<W>();
+                    ""Splits must end with the number of values, got "",
+                    splits_values(num_batches), "" instead of "", num_values));
 
     auto per_batch_counts = BatchedMap<W>(num_batches);
-
     T max_value = 0;
-
-    OP_REQUIRES(context, num_values <= indices.shape().dim_size(0),
-                errors::InvalidArgument(
-                    ""The first dimension of indices must be equal to or ""
-                    ""greather than number of values. ( "",
-                    indices.shape().dim_size(0), "" vs. "", num_values, "" )""));
-    OP_REQUIRES(context, indices.shape().dim_size(1) > 0,
-                errors::InvalidArgument(""The second dimension of indices must ""
-                                        ""be greater than 0. Received: "",
-                                        indices.shape().dim_size(1)));
+    int batch_idx = 0;
 
     for (int idx = 0; idx < num_values; ++idx) {
-      int batch = is_1d ? 0 : indices_values(idx, 0);
-      if (batch >= num_batches) {
-        OP_REQUIRES(context, batch < num_batches,
-                    errors::InvalidArgument(
-                        ""Indices value along the first dimension must be "",
-                        ""lower than the first index of the shape."", ""Got "",
-                        batch, "" as batch and "", num_batches,
-                        "" as the first dimension of the shape.""));
+      while (idx >= splits_values(batch_idx)) {
+        batch_idx++;
       }
       const auto& value = values_values(idx);
       if (value >= 0 && (maxlength_ <= 0 || value < maxlength_)) {
         if (binary_output_) {
-          per_batch_counts[batch][value] = 1;
+          per_batch_counts[batch_idx - 1][value] = 1;
         } else if (use_weights) {
-          per_batch_counts[batch][value] += weight_values(idx);
+          per_batch_counts[batch_idx - 1][value] += weight_values(idx);
         } else {
-          per_batch_counts[batch][value]++;
+          per_batch_counts[batch_idx - 1][value]++;
         }
         if (value > max_value) {",1,CWE-476,tensorflow,1|1|1|1|1|1,"const Tensor& indices = context->input(0);
const Tensor& shape = context->input(2);
const Tensor& weights = context->input(3);

OP_REQUIRES(context, TensorShapeUtils::IsMatrix(indices.shape()),
errors::InvalidArgument(
""Input indices must be a 2-dimensional tensor. Got: "",
indices.shape().DebugString()));
OP_REQUIRES(context, shape.NumElements() != 0,
errors::InvalidArgument(
""The shape argument requires at least one element.""));

bool is_1d = shape.NumElements() == 1;
auto shape_vector = shape.flat<int64_t>();
int num_batches = is_1d ? 1 : shape_vector(0);
for (int b = 0; b < shape_vector.size(); b++) {
OP_REQUIRES(context, shape_vector(b) >= 0,
errors::InvalidArgument(
""Elements in dense_shape must be >= 0. Instead got:"",
shape.DebugString()));
}

OP_REQUIRES(context, num_values == indices.shape().dim_size(0),
""Number of values must match first dimension of indices."",
""Got "", num_values,
"" values, indices shape: "", indices.shape().DebugString()));

const auto indices_values = indices.matrix<int64_t>();
const auto values_values = values.flat<T>();
const auto weight_values = weights.flat<W>();


OP_REQUIRES(context, num_values <= indices.shape().dim_size(0),
errors::InvalidArgument(
""The first dimension of indices must be equal to or ""
""greather than number of values. ( "",
indices.shape().dim_size(0), "" vs. "", num_values, "" )""));
OP_REQUIRES(context, indices.shape().dim_size(1) > 0,
errors::InvalidArgument(""The second dimension of indices must ""
""be greater than 0. Received: "","
220924,195063,0,gpac,CWE-476,target0_all_wrong_hard_negative,bounds_size,bounds_size|error_handling|parser_input,added_guard|added_error_handling|bounds_or_shape_repair,1,1,0,0,4,1,16655,541,0.009410440921783447,vulnerable,"//not enough bytes to parse start code
if (remain<5) {
memcpy(ctx->hdr_store, start, remain);
ctx->bytes_in_header = remain;
break;
}
",0.007394,"L274: if (remain<5) {
L275: memcpy(ctx->hdr_store, start, remain);
L276: ctx->bytes_in_header = remain;
L277: break;","--- vuln 195063
+++ fixed 220924
@@ -271,6 +271,12 @@
 		}
 
+		//not enough bytes to parse start code
+		if (remain<5) {
+			memcpy(ctx->hdr_store, start, remain);
+			ctx->bytes_in_header = remain;
+			break;
+		}
+
 		//parse headers
-
 		//we have a start code loaded, eg the data packet does not have a full start code at the beginning
 		if (sc_type_forced) {",1,CWE-787,linux,1|1|1|1|1|1,
