author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred,base_pred_column,base_pred,repair_verifier_available,repair_verifier_pred,repair_present,repair_type,repair_confidence,repair_evidence,repair_reason,repair_override,repair_applied_pred,repair_applied_correct
0,1,0,1,22,4695,CWE-264,16,187732,0,147,1,0,0,1,0,1,0,1,qemu,0.00034314393997192383,0.9464443922042847,0,906,0,1,0,1,best_ensemble_pred,1,1,0,True,bounds_or_shape_check,high,if (dlen > (1 << 20)) { error_report(...); vnc_client_error(vs); break; },"The target function already contains the exact upper-bound check (1 << 20) and error handling added by the historical patch, fully protecting the VNC_MSG_CLIENT_CUT_TEXT path.",1,0,1
1,1,1,1,67,28188,CWE-704,42,194963,0,869,0,14,1,1,1,1,1,1,ImageMagick6,0.01764601469039917,0.9920761585235596,1,5747,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,4,1693,CWE-190,7,194989,0,75,0,1,1,1,1,1,1,1,ImageMagick6,0.007056117057800293,0.9854543209075928,1,358,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,3,6738,CWE-401,4,194994,3,179,1,2,0,0,0,0,0,0,tensorflow,0.00328749418258667,0.9389801621437073,1,1425,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,1226,CWE-476,3,194996,0,31,0,0,0,0,1,1,0,0,tensorflow,0.0011588335037231445,0.9355892539024353,1,218,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,2,2726,CWE-617,11,194998,1,74,1,0,1,1,1,1,0,0,tensorflow,0.0003197789192199707,0.9321128129959106,1,651,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,455,CWE-476,4,195017,0,14,0,0,1,1,1,1,1,1,gpac,0.0022899508476257324,0.9411735534667969,1,110,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,4,2808,CWE-617,9,195019,3,75,4,0,0,0,1,1,0,0,tensorflow,0.005847573280334473,0.9466097354888916,1,580,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,10298,CWE-287,52,195022,0,141,0,20,1,1,1,1,0,0,glewlwyd,0.0025119781494140625,0.9502125382423401,1,1681,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,3,5831,CWE-190,0,195023,1,144,0,0,1,1,1,1,1,1,tensorflow,0.0058106184005737305,0.9639583826065063,1,1139,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
