author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred,base_pred_column,base_pred,repair_verifier_available,repair_verifier_pred,repair_present,repair_type,repair_confidence,repair_evidence,repair_reason,repair_policy_skip_reason,repair_override,repair_applied_pred,repair_applied_correct
0,1,0,1,22,4695,CWE-264,16,187732,0,147,1,0,0,1,0,1,0,1,qemu,0.00034314393997192383,0.9464443922042847,0,906,0,1,0,1,best_ensemble_pred,1,0,,,,,,,,0,1,0
1,1,1,1,67,28188,CWE-704,42,194963,0,869,0,14,1,1,1,1,1,1,ImageMagick6,0.01764601469039917,0.9920761585235596,1,5747,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,4,1693,CWE-190,7,194989,0,75,0,1,1,1,1,1,1,1,ImageMagick6,0.007056117057800293,0.9854543209075928,1,358,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
0,0,1,1,3,6738,CWE-401,4,194994,3,179,1,2,0,0,0,0,0,0,tensorflow,0.00328749418258667,0.9389801621437073,1,1425,0,0,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,0,1226,CWE-476,3,194996,0,31,0,0,0,0,1,1,0,0,tensorflow,0.0011588335037231445,0.9355892539024353,1,218,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,2,2726,CWE-617,11,194998,1,74,1,0,1,1,1,1,0,0,tensorflow,0.0003197789192199707,0.9321128129959106,1,651,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,0,455,CWE-476,4,195017,0,14,0,0,1,1,1,1,1,1,gpac,0.0022899508476257324,0.9411735534667969,1,110,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,hmhd is dereferenced on line 4 (hmhd->type != GF_ISOM_BOX_TYPE_HMHD) before the null check on line 6 (!hmhd || !hmhd->subType),"The target function dereferences hmhd before checking it for NULL, which is the exact opposite of the historical repair pattern that adds null checks before dereferences; the target lacks the proper guard order.",verifier_not_no,0,1,1
0,0,1,1,4,2808,CWE-617,9,195019,3,75,4,0,0,0,1,1,0,0,tensorflow,0.005847573280334473,0.9466097354888916,1,580,0,0,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,0,10298,CWE-287,52,195022,0,141,0,20,1,1,1,1,0,0,glewlwyd,0.0025119781494140625,0.9502125382423401,1,1681,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,3,5831,CWE-190,0,195023,1,144,0,0,1,1,1,1,1,1,tensorflow,0.0058106184005737305,0.9639583826065063,1,1139,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,"Target checks IsMatrix/IsVector on input_indices/input_values/input_shape, whereas the repair evidence checks IsScalar on num_rows_tensor/num_cols_tensor/padding_value_tensor before flat<T>()(0) scalar access.","The target function operates on different semantic variables (sparse tensor inputs) with different shape constraints (IsMatrix/IsVector) protecting different sinks (matrix/vector indexing) than the historical repair, which guards scalar access on num_rows/num_cols/padding_value inputs.",verifier_not_no,0,1,1
1,1,1,1,0,1703,CWE-909,22,195026,1,78,1,2,0,0,0,0,0,0,linux,0.0028592944145202637,0.9666721224784851,1,412,0,0,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,11,4634,CWE-401,7,195028,3,94,2,1,1,1,1,1,1,1,tensorflow,0.004166722297668457,0.9367724657058716,1,956,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,4,2052,CWE-125,6,195029,0,62,1,3,1,1,0,0,0,0,tensorflow,0.002110421657562256,0.9451507329940796,1,484,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"Target function contains unrelated null checks and DCHECKs for graph edges, not the specific dimension/bounds guards from the sqlite patch.","The historical repair is a bounds/shape check on sqlite R-tree dimensions and data size, which is completely absent and irrelevant to the TensorFlow target function's type inference logic.",verifier_not_no,0,1,1
1,1,1,1,11,877,CWE-476,5,195038,0,40,0,0,1,1,1,1,0,0,mruby,0.007182121276855469,0.9425991773605347,1,249,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,0,3831,CWE-354,2,195039,0,83,0,0,1,1,1,1,0,0,tensorflow,0.0006667971611022949,0.9582131505012512,1,854,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,0,2726,CWE-476,8,195040,0,62,2,0,0,0,0,0,0,0,tensorflow,0.003389716148376465,0.9284627437591553,1,516,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,8,3819,CWE-787,0,195055,0,90,0,0,1,1,1,1,1,1,tensorflow,0.005332231521606445,1.0,1,746,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
0,0,1,1,0,2670,CWE-369,1,195056,0,65,0,0,1,1,0,0,0,0,tensorflow,0.0046010613441467285,0.942516028881073,1,623,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
0,0,0,0,0,1177,CWE-617,10,195059,0,40,0,1,0,0,0,0,0,0,tensorflow,0.007836639881134033,0.9269979000091553,1,287,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
1,1,1,1,33,16506,CWE-476,21,195063,0,535,16,4,1,1,1,1,1,1,gpac,0.0061896443367004395,0.9643875956535339,1,3658,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,0,1715,CWE-120,5,195069,1,49,0,0,1,1,1,1,1,1,gpac,-0.0004793405532836914,0.9593364000320435,1,403,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
