feature,importance,signed_value
num__label_changed_line_count,0.08459817484221298,0.08459817484221298
num__retrieval_pos_neg_margin_mean,0.031107748305058934,0.031107748305058934
num__balanced_grouped_no_label_bc_message_chars,0.028613167087679726,0.028613167087679726
num__positive_weighted_rag_message_chars,0.028548858071673403,0.028548858071673403
num__retrieval_pos_neg_margin_max,0.028430903650896924,0.028430903650896924
num__retrieval_mean_match_score,0.027347111012601667,0.027347111012601667
num__old_rag_prompt_tokens,0.02711038982120652,0.02711038982120652
num__retrieval_score_gap_top1_top2,0.02701900743254174,0.02701900743254174
num__retrieval_top1_score,0.02682777178170245,0.02682777178170245
num__balanced_grouped_no_label_bc_prompt_tokens,0.026607364194291442,0.026607364194291442
num__retrieval_top2_score,0.02633958716825696,0.02633958716825696
num__positive_weighted_rag_prompt_tokens,0.025486905611111044,0.025486905611111044
num__icl_message_chars,0.025481129015999266,0.025481129015999266
num__retrieval_top_neg_score_max,0.02457841628535186,0.02457841628535186
num__old_rag_message_chars,0.024310346936442136,0.024310346936442136
num__retrieval_top_pos_score_max,0.024192731962908023,0.024192731962908023
num__yes_only_message_chars,0.023454278405607452,0.023454278405607452
num__author_no_yes_message_chars,0.023260598114437116,0.023260598114437116
num__char_len,0.022979798460651894,0.022979798460651894
num__zero_shot_message_chars,0.022947444028023456,0.022947444028023456
num__no_only_message_chars,0.022866604434862364,0.022866604434862364
num__token_len_approx,0.022542156495183326,0.022542156495183326
num__ptr_count,0.02141115579724982,0.02141115579724982
num__call_count,0.021153577361408875,0.021153577361408875
num__line_count,0.02088480865710834,0.02088480865710834
num__unique_call_count,0.017594068603286984,0.017594068603286984
num__error_handling_keyword_count,0.017286352603897836,0.017286352603897836
num__cond_count,0.017239009436144453,0.017239009436144453
num__retrieval_same_project_match_count,0.014988256645792153,0.014988256645792153
num__retrieval_role_count_safe_background,0.014078006379905757,0.014078006379905757
num__bounds_keyword_count,0.0132987363607944,0.0132987363607944
num__method_yes_count,0.013267031704203399,0.013267031704203399
num__retrieval_role_count_fixed_changed,0.01299110467788483,0.01299110467788483
num__method_no_count,0.012660540817247374,0.012660540817247374
num__method_yes_rate,0.011798011121368742,0.011798011121368742
num__retrieval_num_index_matches,0.011728654743924712,0.011728654743924712
num__null_keyword_count,0.011396014826622317,0.011396014826622317
num__retrieval_unknown_evidence_count,0.011227303727998014,0.011227303727998014
num__retrieval_role_count_vulnerable_context,0.010961080374673134,0.010961080374673134
num__method_pred_entropy,0.010952481982024235,0.010952481982024235
num__loop_count,0.010119946148684044,0.010119946148684044
num__memory_api_count,0.0076725134744155,0.0076725134744155
num__icl_pred,0.007085542927689026,0.007085542927689026
num__lifecycle_keyword_count,0.006352927524129018,0.006352927524129018
num__retrieval_positive_evidence_count,0.005550391898876649,0.005550391898876649
num__retrieval_role_count_vulnerable_changed,0.005538093607937184,0.005538093607937184
num__method_disagree,0.005344724438133929,0.005344724438133929
num__preproc_count,0.0049837859666728235,0.0049837859666728235
num__yes_only_pred,0.00415008180289668,0.00415008180289668
num__string_api_count,0.004087338839360267,0.004087338839360267
num__old_rag_pred,0.0036944522272820226,0.0036944522272820226
num__positive_weighted_rag_pred,0.003413407183463598,0.003413407183463598
num__balanced_grouped_no_label_bc_pred,0.0032894448673926463,0.0032894448673926463
num__zero_shot_pred,0.0031409191153797295,0.0031409191153797295
cat__retrieval_top1_evidence_role_safe_background,0.0031291040613595114,0.0031291040613595114
num__author_no_yes_pred,0.0029445818844787727,0.0029445818844787727
cat__project_tensorflow,0.00283839956806157,0.00283839956806157
num__retrieval_top1_evidence_polarity,0.0027016826827066776,0.0027016826827066776
cat__retrieval_top1_evidence_role_vulnerable_changed,0.0026291645782749716,0.0026291645782749716
num__no_only_pred,0.0024953743266231225,0.0024953743266231225
cat__retrieval_top1_evidence_role_vulnerable_context,0.0022900805539949297,0.0022900805539949297
cat__cwe_CWE-787,0.0018935890035067827,0.0018935890035067827
cat__cwe_CWE-703,0.0014917983206076024,0.0014917983206076024
cat__project_linux,0.0014843054039523995,0.0014843054039523995
cat__project_vim,0.0014097966191779334,0.0014097966191779334
cat__cwe_CWE-125,0.0013306023797179077,0.0013306023797179077
cat__cwe_CWE-476,0.0012566767722112162,0.0012566767722112162
cat__cwe_CWE-416,0.0010572841963909815,0.0010572841963909815
cat__retrieval_top1_evidence_role_fixed_changed,0.0009951364283198288,0.0009951364283198288
num__macro_count,0.0008123348496726154,0.0008123348496726154
cat__project_ImageMagick,0.000499480922373615,0.000499480922373615
cat__cwe_CWE-617,0.0004923202588312597,0.0004923202588312597
cat__cwe_CWE-20,0.00037794185781162774,0.00037794185781162774
cat__cwe_CWE-119,0.0003697833463307299,0.0003697833463307299
cat__project_gpac,0.00034711460944044644,0.00034711460944044644
cat__cwe_CWE-200,0.00034389111338106363,0.00034389111338106363
cat__cwe_CWE-369,0.0002947153868836984,0.0002947153868836984
cat__cwe_CWE-415,0.00028446734899157576,0.00028446734899157576
cat__cwe_CWE-190,0.0002818900868067454,0.0002818900868067454
cat__cwe_CWE-362,0.0002672348978058184,0.0002672348978058184
cat__project_pjproject,0.00021706650087451634,0.00021706650087451634
cat__project_squashfs-tools,0.0001418629012186125,0.0001418629012186125
cat__project_php-src,0.00012974123686108647,0.00012974123686108647
cat__project_server,0.00012713925480473427,0.00012713925480473427
cat__project_radare2,9.387596907566373e-05,9.387596907566373e-05
cat__project_ghostpdl,8.470785421256662e-05,8.470785421256662e-05
cat__cwe_CWE-120,8.343460753591412e-05,8.343460753591412e-05
cat__project_ImageMagick6,8.256205730498246e-05,8.256205730498246e-05
cat__project_mruby,8.240232214332309e-05,8.240232214332309e-05
cat__cwe_CWE-22,8.004685279909706e-05,8.004685279909706e-05
cat__cwe_CWE-843,7.64432374834423e-05,7.64432374834423e-05
