feature,importance,signed_value
num__label_changed_line_count,0.4471481839855889,-0.4471481839855889
num__method_pred_entropy,0.3493477019742806,-0.3493477019742806
num__positive_weighted_rag_prompt_tokens,0.3090139749600252,-0.3090139749600252
num__retrieval_top_neg_score_max,0.26555845413649687,-0.26555845413649687
num__method_known_pred_count,0.2494743063812607,0.2494743063812607
num__balanced_grouped_no_label_bc_message_chars,0.24164042737217623,0.24164042737217623
num__positive_weighted_rag_message_chars,0.22924954930973587,-0.22924954930973587
num__yes_only_pred,0.2157609196410574,0.2157609196410574
cat__retrieval_top1_evidence_role_vulnerable_context,0.20276649669391372,0.20276649669391372
num__positive_weighted_rag_pred,0.17249538838978812,-0.17249538838978812
num__retrieval_top1_score,0.1511872964563883,0.1511872964563883
num__retrieval_score_gap_top1_top2,0.1491967771194806,0.1491967771194806
num__no_only_pred,0.14142809283974142,-0.14142809283974142
num__retrieval_negative_evidence_count,0.13937263258379998,-0.13937263258379998
num__retrieval_num_selected_query_chunks,0.13937263258379898,-0.13937263258379898
num__old_rag_pred,0.13585026242574477,-0.13585026242574477
num__retrieval_top2_score,0.13253441852240747,0.13253441852240747
num__cond_count,0.13218157005777784,0.13218157005777784
num__line_count,0.13162126954558584,-0.13162126954558584
num__zero_shot_pred,0.13039754973898568,0.13039754973898568
num__unique_call_count,0.12514486818638748,-0.12514486818638748
cat__retrieval_top1_evidence_role_vulnerable_changed,0.12416024216340257,-0.12416024216340257
num__loop_count,0.11280049083549196,-0.11280049083549196
num__old_rag_prompt_tokens,0.11145884476204575,0.11145884476204575
num__icl_pred,0.10729267867350487,0.10729267867350487
num__preproc_count,0.10288980284750246,0.10288980284750246
num__retrieval_mean_match_score,0.09629765153411456,-0.09629765153411456
cat__retrieval_top1_evidence_role_safe_background,0.09611211994389769,-0.09611211994389769
num__method_disagree,0.08962313960601657,0.08962313960601657
num__retrieval_top1_evidence_polarity,0.08449965162789905,0.08449965162789905
num__balanced_grouped_no_label_bc_pred,0.08381183308289038,0.08381183308289038
num__call_count,0.077078674447326,0.077078674447326
num__retrieval_top_pos_score_max,0.07681909069250849,-0.07681909069250849
num__memory_api_count,0.07317028196713253,-0.07317028196713253
cat__retrieval_top1_evidence_role_fixed_changed,0.0696107538776516,0.0696107538776516
num__token_len_approx,0.06946381414710791,0.06946381414710791
num__icl_message_chars,0.06938796541516802,-0.06938796541516802
num__retrieval_same_project_match_count,0.06835606256710183,0.06835606256710183
num__error_handling_keyword_count,0.06352962873602316,-0.06352962873602316
num__retrieval_pos_neg_margin_max,0.06253087629316607,0.06253087629316607
num__string_api_count,0.04734831523851305,0.04734831523851305
num__retrieval_role_count_fixed_changed,0.035656719594488975,-0.035656719594488975
num__ptr_count,0.03562172502400877,0.03562172502400877
num__old_rag_message_chars,0.03480935636534788,0.03480935636534788
num__bounds_keyword_count,0.03445402043281637,0.03445402043281637
num__null_keyword_count,0.02963285716019283,0.02963285716019283
num__balanced_grouped_no_label_bc_prompt_tokens,0.028489738840065403,0.028489738840065403
num__no_only_message_chars,0.02775920999117718,0.02775920999117718
num__char_len,0.02775920999117718,0.02775920999117718
num__yes_only_message_chars,0.02775920999117718,0.02775920999117718
num__author_no_yes_message_chars,0.02775920999117718,0.02775920999117718
num__zero_shot_message_chars,0.02775920999117718,0.02775920999117718
num__retrieval_num_index_matches,0.018410498233652085,-0.018410498233652085
num__method_yes_count,0.01691817004265614,0.01691817004265614
num__lifecycle_keyword_count,0.0169013420787737,0.0169013420787737
cat__retrieval_top1_evidence_role_missing,0.011855092570537979,-0.011855092570537979
num__retrieval_unknown_evidence_count,0.010401409735968446,0.010401409735968446
num__retrieval_role_count_vulnerable_context,0.010401409735968446,0.010401409735968446
num__method_no_count,0.00791419627954202,-0.00791419627954202
num__method_yes_rate,0.007914196279538321,0.007914196279538321
num__author_no_yes_pred,0.007599131318267311,0.007599131318267311
num__retrieval_role_count_safe_background,0.004028184421876947,0.004028184421876947
num__retrieval_pos_neg_margin_mean,0.0033505030786227224,0.0033505030786227224
num__macro_count,0.0004168989227109896,0.0004168989227109896
num__retrieval_positive_evidence_count,0.00031037019837053536,0.00031037019837053536
num__retrieval_role_count_vulnerable_changed,0.00031037019837053536,0.00031037019837053536
num__retrieval_role_count_unknown,0.0,0.0
num__retrieval_same_cwe_match_count,0.0,0.0
